Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Username,Follower,Tweets,URL-Twitter
M&K ,,CH,,Vincenzo,http://www.m-k.ch/,,,@MKRedaktion,Marketing & Kommunikation (M&K) ist die wichtigste Publikation der Marketing- und Kommunikationsbranche in der Schweiz.,1537,1440,https://twitter.com/MKRedaktion
"Maissen, Bernard",,CH,,Vincenzo,http://www.sda.ch/,,,@bernardmaissen,,114,41,https://twitter.com/bernardmaissen
MAZ Luzern ,,CH,,Vincenzo,http://www.maz.ch/home/,,,@mazluzern,Das MAZ - Die Schweizer Journalistenschule: Ausbildung und Weiterbildung für Medienschaffende und Kommunikationsfachleute,2351,1080,https://twitter.com/mazluzern
Medienkritik Schweiz ,,CH,,Vincenzo,http://medienkritik-schweiz.ch/,,,@MedienkritikCH,Seit 2010 dient http://www.medienkritik-schweiz.ch  als publizistische Plattform für die medienkritische Debatte in der Schweiz.,357,151,https://twitter.com/MedienkritikCH
medienkritisch.ch ,,CH,,Vincenzo,http://www.medienkritisch.ch/,,,@medien_kritisch,Die medienkritische Website über die deutschsprachige Medienlandschaft. Es twittern: @StephanStulz und @ManuelEgli,1559,427,https://twitter.com/medien_kritisch
MedienNewsCH ,,CH,,Vincenzo,http://www.o-ton.ch/,,,@MedienNewsCH,,117,725,https://twitter.com/MedienNewsCH
MedienObserver ,,CH,,Vincenzo,,,,@MedienObserver,observing and commenting newspapers and online media,220,45,https://twitter.com/MedienObserver
Medientipp ,,CH,,Vincenzo,http://www.medientipp.ch/,,,@medientipp,"Programm-, Film- und Medienhinweise zu Kirche, Religion und Gesellschaft",381,10.1 Tsd,https://twitter.com/medientipp
Medienwoche,,CH,,Vincenzo,http://medienwoche.ch/,,,@Medienwoche,Medienwoche,11.2 Tsd,2500,https://twitter.com/Medienwoche
Migros Magazin,migrosmagazin.ch,CH,Zeitschrift,Vincenzo,http://www.migrosmagazin.ch/,DE,Migros-Genossenschafts-Bund,@MigrosMagazin,Migros-Magazin,2'371,1'310,https://twitter.com/MigrosMagazin
Nebelspalter,Nebelspalter,CH,Zeitschrift,Vincenzo,http://www.nebelspalter.ch/,DE,Nebelspalter,@Nebelspalter,Nebelspalter,2'423,483,https://twitter.com/Nebelspalter
Neo1,Radio Emme,CH,Kommerzielles Privatradio,Vincenzo,http://www.radioemme.ch/home.html,DE,Radio neo1,@radio_neo1,neo1 - Mein Radio,203,2'502,https://twitter.com/radio_neo1
Neue Luzerner Zeitung,luzernerzeitung.ch,CH,Tageszeitung,Vincenzo,http://www.luzernerzeitung.ch/,DE,LZ Medien Holding AG (NZZ-Mediengruppe),@Neue_LZ,luzernerzeitung.ch,2'298,5'230,https://twitter.com/Neue_LZ
Neue Zuger Zeitung,luzernerzeitung.ch - zugerzeitung.ch,CH,Tageszeitung,Vincenzo,http://www.zugerzeitung.ch,DE,LZ Medien Holding AG (NZZ-Mediengruppe),@Neue_ZZ, zugerzeitung.ch ,232,2'634,https://twitter.com/Neue_ZZ
Neue Zürcher Zeitung,NZZ,CH,Tageszeitung,Vincenzo,http://www.nzz.ch/,DE,Neue Zürcher Zeitung AG,@NZZ,Neue Zürcher Zeitung,89.6 Tsd,32.8 Tsd,https://twitter.com/NZZ
newsaktuellCH,,CH,,Vincenzo,http://www.newsaktuell.ch/,DE,,@newsaktuellCH ,newsaktuellCH,521,798,https://twitter.com/newsaktuellCH
NewsMän,,CH,,Vincenzo,,,,@KueddeR,Bin der NewsMän. Verschicke News. Was sonst?,3646,56.3 Tsd,https://twitter.com/KueddeR
NZZ am Sonntag,NZZaS,CH,Sonntagszeitung,Vincenzo,http://www.nzz.ch/nzzas/nzz-am-sonntag/,DE,Neue Zürcher Zeitung AG,@NZZaS,NZZ am Sonntag,1'605,1'028,https://twitter.com/NZZaS
NZZ Folio,NZZ Folio,CH,Zeitschrift,Vincenzo,http://www.nzzfolio.ch/,DE,NZZ Media,@nzzfolio,NZZ Folio ,1'720,556,https://twitter.com/nzzfolio
NZZ Online,NZZ Online,CH,Tageszeitung,Vincenzo,http://www.nzz.ch,DE,NZZ Media,@NZZ_Online,NZZ Online,386,6'313,https://twitter.com/NZZ_Online
NZZ Reporter Data,,CH,,Vincenzo,http://www.nzz.ch/data/,,,@NZZData,NZZ Reporter/Daten,1'873,2'399,https://twitter.com/NZZData
NZZ Zürich,,CH,,Vincenzo,http://www.nzz.ch/zuerich/,,,@NZZzuerich,NZZ Zürich,1'057,1'074,https://twitter.com/NZZzuerich
NZZ-Netz,,CH,,Vincenzo,http://netz.nzz.ch/,,,@nzznetz,NZZ-Netz,633,221,https://twitter.com/nzznetz
NZZ.ch (Feed),,CH,,Vincenzo,http://www.nzz.ch/,,,@NZZfeed,NZZ.ch (Feed),13.8 Tsd,129 Tsd,https://twitter.com/NZZfeed
Onlinereports,Onlinereports,CH,Newsportal,Vincenzo,http://www.onlinereports.ch/,DE,OnlineReports GmbH,@OnlineReports,OnlineReports,847,1'570,https://twitter.com/OnlineReports
OstschweizAmSonntag,,CH,,Vincenzo,http://www.ostschweiz-am-sonntag.ch/,,,@persoenlichcom,persoenlich.com,164,11.1 Tsd,https://twitter.com/OstschweizamSon
ot Schweiz am Sonntag,ot Schweiz am Sonntag,CH,Sonntagszeitung,Vincenzo,http://ot.sonntagonline.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
persoenlich.com,,CH,,Vincenzo,http://www.persoenlich.com/,,,@persoenlichcom, persoenlich.com ,8'096,11.1 Tsd,https://twitter.com/persoenlichcom
Presseportal,Presseportal.ch,CH,Presseportal,Vincenzo,http://www.presseportal.ch,DE,news aktuell (Schweiz) AG,@presseportal_ch,presseportal.ch,856,57.5 Tsd,https://twitter.com/presseportal_ch
PUNKTmagazin,,CH,,Vincenzo,http://www.punktmagazin.ch/,,,@PUNKTmagazin,PUNKTmagazin,467,948,https://twitter.com/PUNKTmagazin
Quajou,,CH,,Vincenzo,http://www.quajou.ch/,,,@Quajou,Verein für Qualität im Journalismus,490,575,https://twitter.com/Quajou
Radio 24,Radio 24,CH,Kommerzielles Privatradio,Vincenzo,http://www.radio24.ch/,DE,Radio 24 AG,@radio24,Radio 24,5'508,3'235,https://twitter.com/radio24
Radio 32,Radio 32,CH,Kommerzielles Privatradio,Vincenzo,http://www.radio32.ch/,DE,Radio 32 AG,@radio32ag,Radio 32,386,764,https://twitter.com/radio32ag
Radio 3fach,Radio 3fach,CH,nicht-kommerzorientiertes Lokalradio,Vincenzo,http://www.3fach.ch/,DE,Radio 3FACH,@Radio3FACH,Radio 3FACH,2'548,3'538,https://twitter.com/Radio3FACH
Radio Argovia,Radio Argovia,CH,Kommerzielles Privatradio,Vincenzo,http://www.argovia.ch/,DE,Radio Argovia AG,@RadioArgovia,Radio Argovia ,1'270,1'959,https://twitter.com/RadioArgovia
Radio Basilisk,Radio Basilisk,CH,Kommerzielles Privatradio,Vincenzo,http://www.basilisk.ch/startseite,DE,Radio Basilisk Betriebs AG,@Radio_Basilisk,Radio Basilisk ,3'140,2'053,https://twitter.com/Radio_Basilisk
Radio Bern 1,Radio Bern 1,CH,Kommerzielles Privatradio,Vincenzo,http://www.radiobern1.ch/,DE,Radio Bern1 AG,@RADIOBERN1,RADIO BERN1,63,273,https://twitter.com/RADIOBERN1
Radio Central,Radio Central,CH,Kommerzielles Privatradio,Vincenzo,http://www.radiocentral.ch/,DE,Radio Central AG,@radiocentral_ch,Radio Central,131,2'310,https://twitter.com/radiocentral_ch
Radio Energy,Radio Energy,CH,Radio,Vincenzo,http://www.energy.ch,DE,Ringier AG,@energy_ch,energy_ch,5'269,3'647,https://twitter.com/energy_ch
Radio Grischa,Radio Grischa,CH,Kommerzielles Privatradio,Vincenzo,http://www.radiogrischa.ch/,DE,Südostschweiz Radio AG,@radiogrischa,Radio Grischa ,1'997,10 Tsd,https://twitter.com/radiogrischa
Radio Inside,Radio Inside,CH,Kommerzielles Privatradio,Vincenzo,http://radioinside.ch/,DE,Zofinger Tagblatt AG,@radio_inside,Radio Inside,757,345 Tsd,https://twitter.com/radio_inside
Radio Kaiseregg,Radio Kaiseregg,CH,nicht-kommerzorientiertes Lokalradio,Vincenzo,http://www.kaiseregg.ch/,DE,Kaiseregg Media GmbH,@radiokaiseregg,Radio Kaiseregg,102,85,https://twitter.com/radiokaiseregg
Radio Life Channel,Radio Life Channel,CH,nicht-kommerzorientiertes Lokalradio (christlich),Vincenzo,http://www.erf-medien.ch/radio-life-channel,DE,ERF Medien,@Life_Channel,Radio Life Channel ,1'536,2'850,https://twitter.com/Life_Channel
Radio Pilatus,Radio Pilatus,CH,Kommerzielles Privatradio,Vincenzo,http://www.radiopilatus.ch/,DE,Radio Pilatus AG,@radiopilatus,Radio Pilatus,2'152,8'006,https://twitter.com/radiopilatus
Radio RaBe,Radio RaBe,CH,nicht-kommerzorientiertes Lokalradio,Vincenzo,http://www.rabe.ch/,DE,Radio RaBe,@radiorabe,Radio Bern 95.6 FM,700,3'709,https://twitter.com/radiorabe
Radio Rottu Oberwallis,rro,CH,Radio,Vincenzo,http://www.rro.ch,DE,Radio Rottu Oberwallis AG,@radio_rottu,rro - radio rottu,1'016,22.2 Tsd,https://twitter.com/radio_rottu
Radio Stadtfilter,Radio Stadtfilter,CH,nicht-kommerzorientiertes Lokalradio,Vincenzo,http://www.stadtfilter.ch/,DE,Verein Radio Stadtfilter,@stadtfilter,Radio Stadtfilter ,481,3'167,https://twitter.com/stadtfilter
Radio Sunshine,Radio Sunshine,CH,Kommerzielles Privatradio,Vincenzo,http://www.sunshine.ch/,DE,Radio Sunshine AG,@radiosunshine,Radio Sunshine ,435,2'122,https://twitter.com/radiosunshine
Radio Top,Radio Top,CH,Kommerzielles Privatradio,Vincenzo,http://www.radiotop.ch/,DE,RADIO TOP AG,@RADIO_TOP_CH,RADIO TOP,571,2'017,https://twitter.com/RADIO_TOP_CH
