Name,Vorname / weitere Namen (optional),Twitter-Account,Abkürzungen,Organisation,URL (direkt zu Medienmitteilungen),URL Sprache,Category,Subcategory,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,
Programmkommission Bern Freiburg Wallis,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,,
Programmkommission Ostschweiz,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,,
Programmkommission Region Basel,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,,
Programmkommission Zentralschweiz,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,,
Programmkommission Zürich-Schaffhausen,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,,
Programmkommissionen SRG (alle),,,,,https://www.srgd.ch/aktuelles/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,Unter diesem Link sind alle MM von allen regionalen Programmkommissionen verfügbar,
Publicitas AG,,@Publicitas_CH,,,http://www.publicitas.ch/de/publicitas/news-room/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Publicom AG,,@Publicom_AG,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Marktforschungsorganisation,ja,Mischform zwischen News und MM. Wird über Topf 2 abgegrast,
PubliGroupe SA,,@PubliGroupe,,local.ch,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Letzte MM vom März 2015. Gehört nun der Swisscom.,
Publikumsrat SRG Deutschschweiz,Publikumsrat,---,,,https://www.srgd.ch/aktuelles/publikumsrat/,DE,Medienmitteilungen der Fachöffentlichkeit,Mediumsinterne Kontrollinstanz,ja,Wir bereits über srgd.ch gecrawlt,
Publisuisse SA,,@publisuisseSA,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,SRG-Werbetochter,ja,nur als PDF verfügbar,
Radio Argovia AG,,@RadioArgovia,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage. Medienmitteilungen werden über die Seite von Radio Argovia gefunden.,
Radio Kaiseregg,,,,,http://www.kaiseregg.ch/index.php/mm,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Radio Ostschweiz AG,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage. Medienmitteilungen werden über die Seite von Radio Ostschweiz gefunden.,
Radio Pilatus AG,,@radiopilatus,,,http://www.radiopilatus.ch/pilatus,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage. Medienmitteilungen werden über die Seite von Radio Pilatus gefunden.,
Radio Sunshine AG,,@radiosunshine,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Rheintal Verlag AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Ringier AG,Ringier,@ringier_ag,,,http://www.ringier.com/de/mediacorner/press-releases,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,MM als Fliesstext und als PDF verfügbar,
Schaer Thun AG,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage,
Schazo AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Schweizer Klub für Wissenschaftsjournalismus,Olivier Dessibourg,---,SKWJ,,http://www.science-journalism.ch/index.php/klubnews.html,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,Klubnews werden über FÖ alles gecrwalt. Keine MM verfügbar,
Schweizer Syndikat  Medienschaffender,SSM,@syndicat,SSM,,http://www.ssm-site.ch/medien/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,Berufsorganisationen,ja,,
"Schweizerisches Ausbildungszentrum für Marketing, Werbung und Verkauf",SAWI,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Medienschule,ja,keine MM verfügbar,
Somedia,Medien der Südostschweiz,@somedien,,,http://www.somedia.ch/news/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Mischung zwischen Medienmitteilungen und News. Wird auch über FÖ alles gecrawlt,
SRG Deutschschweiz,,@srg_d,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Trägerverein,ja,Wird über srgd.ch gecrawlt,
St. Galler Tagblatt AG,,@sgtb_ch,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Gleiche URL wie Tagblatt Medien AG. Wird darüber gecrawlt,
Stifterverein Medienqualität Schweiz,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Verein (medienkritische Organisation),ja,Befindet sich im Aufbau. Noch keine MM.,
Stiftung Mercator Schweiz,Dr. Michael Schmidt,---,,,http://www.stiftung-mercator.ch/medien/medienmitteilungen.html,DE,Medienmitteilungen der Fachöffentlichkeit,Stiftungen,ja,,
Stiftung Wahrheit in den Medien,,---,SWM,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Stiftungen,ja,,
Südostschweiz Newmedia AG,,@somediapd,,,http://www.somedia-production.ch/home/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Keine MM auffindbar. Wird wahrscheinlich über das Mutterhaus Somedia verschickt.,
Südostschweiz Partner AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Zeitungsdruckerei,
syndicom,Comedia,@syndicomTweets,,,http://www.syndicom.ch/de/newsaktivitaeten/medienmitteilungen.html,DE,Medienmitteilungen der Fachöffentlichkeit,Berufsorganisationen,ja,,
Tagblatt Medien,,---,,,http://www.tagblattmedien.ch/category/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Tamedia AG,,@Tamedia,,,http://www.tamedia.ch/de/pressekontakt/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Tele 1 AG,,@Tele1ZF    ,,,http://www.tele1.ch/Ueberuns/Medienmitteilungen.aspx,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,MM als Fliesstext und als PDF verfügbar,
Telesuisse,Verband der Schweizer Regionalfernsehen,@Telesuisse,,,http://www.telesuisse.ch/communiques/,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,,
Timedia Holding AG,,---,,,---,I,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Homepage nur auf Italienisch verfügbar,
Triner Medien Holding AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Triner Medien-Stiftung,Dr. Hugo Triner,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Stiftungen,ja,,
Unabhängige Beschwerdeinstanz für Radio und Fernsehen,,@BlumRoger,UBI,,http://www.ubi.admin.ch/de/dokumentation_medienmitteilungen.htm,DE,Medienmitteilungen der Fachöffentlichkeit,Beschwerdeinstanz,ja,,
Union nicht-kommerzorientierter Lokalradios,Lukas Weiss,---,UNIKOM,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,wird über FÖ alles gecrawlt,
Valaiscom AG,,@ValaiscomAG,,,http://www.valaiscom.ch/ueber-uns/medienmitteilungen,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Verband Schweizer Fachjournalisten,SFJ,,,,http://www.sfj-ajs.ch/de/pressemitteilungen,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,,
Verband Schweizer Medien,Hanspeter Lebrument,---,VSM,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,Medienmitteilungen nur als PDF verfügbar,
Verband Schweizer Privatradios,Jürg Bachmann,---,VSP,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,wird über FÖ alles gecrawlt,
