Name,Vorname / weitere Namen (optional),Twitter-Account,Organisation,URL,URL_Sprache,Category,Subcategory,Ort,Total verbreitete Auflage 2013,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,Letzte Aktualisierung am 18.07.2016
Der Merker,,---,,---,DE,Fachöffentlichkeit online,Redaktionsinterne Kontrollinstanz,,,ja,wird über Homepage des St. Galler Tagblatts abgedeckt. Format scheint online nicht mehr verfügbar zu sein.,
Dietschi AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,2014/15 von AZ Medien gekauft. Homepage nicht mehr verfügbar.,
Edito,Edito + Klartext,---,,http://www.edito.ch/,DE,Fachöffentlichkeit online,Branchenmagazin,,,ja,"Gibt Printmagazin 6x jährlich heraus. Heisst seit 2016 wieder nur ""Edito"", nicht mehr ""Edito+Klartext""",
Eidgenössische Medienkommission,EMEK,---,,---,DE,Fachöffentlichkeit online,(Medien-)politische Organisationen/Instanzen,,,ja,Ausserparlamentarische Kommission. Beratendes Gremium (berät den Bundesrat). Mitteilungen werden über den BAKOM-Newsletter verschickt. Keine eigene Homepage gefunden. Nur Info-Seite des BAKOM vorhanden ohne News. Jahresberichte nur als PDF verfügbar.,
Energy Holding AG,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage zu finden,
Espace Media AG,,@espacemedia,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Gehört zu Tamedia. Wird über Tamedia-Homepage gecrawlt,
European Journalism Observatory,EJO,@ejotweets,,http://de.ejo-online.eu/,DE,Fachöffentlichkeit online,Forschungsprojekt,,,ja,,
Fairmedia,,,,http://fairmedia.ch/aktuell/,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,"Verein aus Basel, der seit 2016 ""Medienopfer"" unterstützt.",
Fondation Hirondelle,,,,---,FR,Fachöffentlichkeit online,Stiftung,,,ja,Westschweizer Stiftung,
Forschungsinstitut Öffentlichkeit und Gesellschaft,fög,---,fög,http://www.foeg.uzh.ch/de/analyse/alleanalysen.html,DE,Fachöffentlichkeit online,Assoziiertes Institut der Universität Zürich,,,ja,"Gibt jährlich das ""Jahrbuch Qualität der Medien"" heraus. Wiss. Publikationen als PDF verfügbar. Auf der Startseite wird deklariert, welche Resonanz das fög in den Massenmedien hat.",
Forschungsinstitut Öffentlichkeit und Gesellschaft,fög,---,fög,http://www.foeg.uzh.ch/medienspiegel.html,DE,Fachöffentlichkeit online,Assoziiertes Institut der Universität Zürich,,,ja,fög-Forschung in den Medien,
Freiburger Nachrichten AG,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage.,
Freie Presse Holding,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage.,
Gassmann AG,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"wird über ""Medienmitteilungen"" abgedeckt",
Gebert Ruef-Stiftung,GRS,---,,http://www.grstiftung.ch,DE,Fachöffentlichkeit online,Stiftung,,,ja,Publikationen,
Gesellschaft für Medienkritik Schweiz,gfmks,---,gfmks,---,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,Verein wurde 2012 aufgelöst,
Glattaler AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine News auf Homepage. Nur als ePaper verfügbar,
Globale News Subdomain Schweizer Regierung,,,,https://www.news.admin.ch,DE,,Newsportal,,,ja,"Diese Subdomain wird benötigt da sämtliche Newsartikel unter admin.ch unter dieser Subdomain veröffentlicht werden. Das Ziel ist, dass keine Artikel unter dieser Domain gefunden werden, sondern dass diese Domain nur für das Whitelist Filtering verwendet wird.",
Goldbach Group,,@GoldbachGroup,,http://www.goldbachgroup.com/newsroom/aktuell,DE,Fachöffentlichkeit online,Werbevermarktungsgesellschaft,,,ja,News,
Gossweiler Andreas-Blog,Silver train,,,https://agossweiler.wordpress.com/,DE,Fachöffentlichkeit online,Blog,,,ja,nicht nur Medienbeiträge,
Gottlieb und Hans Vogt-Stiftung,,---,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,"keine News, nur Medienmitteilungen",
Gossweiler Andreas-Blog,,,,https://agossweiler.wordpress.com/,DE,Fachöffentlichkeit online,Blog,,,ja,,
Impressum,,---,,http://www.impressum.ch/impressum-de/service/iNews.html,DE,Fachöffentlichkeit online,Berufsorganisationen / Branchengewerkschaft,,,ja,publiziert online sogenannte i-News (Newsletter); Achtung: Link wechselt jährlich,
Infamy,,@infamyblog,,---,DE,Fachöffentlichkeit online,Blog,,,ja,keine sinnvollen Inhalte. Aus Sample gelöscht.,
Infosperber,,@infosperber,,http://www.infosperber.ch/Medien,DE,Fachöffentlichkeit online,Newsportal,,,ja,Auch via Newsletter beziehbar,
Infosperber,,,,http://www.infosperber.ch/Artikel/Medien,DE,Fachöffentlichkeit online,Newsportal,,,ja,URLs der einzelnen Artikel differieren von der Rubriks-URL,
Institut für Angewandte Medienwissenschaft,IAM,@IAM_Winterthur,ZHAW / Zürcher Hochschule für Angewandte Wissenschaften,http://blog.zhaw.ch/iam/,DE,Fachöffentlichkeit online,Blog (Hochschulblog),,,ja,,
Institut für Angewandte Medienwissenschaft,IAM,@IAM_Winterthur,ZHAW / Zürcher Hochschule für Angewandte Wissenschaften,https://www.zhaw.ch/de/linguistik/institute-zentren/iam/ueber-uns/news/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Institut-News,
Institut für Angewandte Medienwissenschaft,IAM,@IAM_Winterthur,ZHAW / Zürcher Hochschule für Angewandte Wissenschaften,https://www.zhaw.ch/de/linguistik/institute-zentren/iam/veranstaltungen/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,URLs der einzelnen Artikel differieren von der Rubriks-URL,
Institut für Angewandte Psychologie,IAP,---,ZHAW / Zürcher Hochschule für Angewandte Wissenschaften,https://www.zhaw.ch/de/psychologie/ueber-uns/medien-news/news/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Publikationen,
Institut für Kommunikation und Marketing,IKM,---,Hochschule Luzern,https://www.hslu.ch/de-ch/hochschule-luzern/ueber-uns/medien/magazin/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Hochschulmagazin,
Institut für Kommunikations- und Medienwissenschaft,IKMB,---,Universität Bern,http://www.ikmb.unibe.ch/content/index_ger.html,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Publikationen,
Institut für Medien- und Kommunikationsmanagement,MCM,@mcminstitute,Universität St. Gallen,http://www.mcm.unisg.ch/de/about+mcm/archiv-aktuell,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Institut-News,
Institut für Medienwissenschaft,Seminar für Medienwissenschaft,---,Universität Basel,https://mewi.unibas.ch/aktuelles/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Institut-News,
Institut für Publizistikwissenschaft und Medienforschung IPMZ - Abteilung Medienwandel und Innovation,IPMZ,@IPMZmediachange,Universität Zürich,http://www.mediachange.ch/news/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,,
Institut für Publizistikwissenschaft und Medienforschung,IPMZ,@IPMZmediachange,Universität Zürich,http://www.ipmz.uzh.ch/News/,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,,
Institute for Competitiveness and Communication,ICC,@FHNWbusiness,Fachhochschule Nordwestschweiz FHNW,http://www.fhnw.ch/wirtschaft/icc/forschung/publikationen-icc,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Publikationen,
Institute for Competitiveness and Communication,ICC,@FHNWbusiness,Fachhochschule Nordwestschweiz FHNW,http://www.fhnw.ch,DE,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Institut-News,
Interna,,---,,---,DE,Fachöffentlichkeit online,Redaktionell eingebundener Blog,,,ja,Ehemaliger Blog von David Sieber. Eingestellt per Sommer 2015.,
investigativ,,,,http://www.investigativ.ch/,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,,
Journal21,,,,https://www.journal21.ch/medien,DE,Fachöffentlichkeit online,Blog,,,ja,,
Journalismus-Y,,,,http://journalismus-y.ch/,DE,Fachöffentlichkeit online,Blog (Audiopodcast),,,ja,2014/15 lanciert von Luca Ghiselli (IAM) und Angelo Zehr,
Journal21,,,,https://www.journal21.ch/medien,DE,Fachöffentlichkeit online,Blog,,,ja,,
Journalism Reloaded,,,,http://www.journalism-reloaded.ch/,DE,Fachöffentlichkeit online,Blog,,,ja,Medienblog von Alexandra Stark (MAZ-Studienleiterin),
Kitag Kino-Theater AG,Kitag,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Nur Filmvorschauen,
Kleinreport,,---,,www.kleinreport.ch,DE,Fachöffentlichkeit online,Branchenportal (mit täglichem Newsletter),,,ja,,
Klipp+Klang Radioschule,,,,---,DE,Fachöffentlichkeit online,Medienausbildungsinstanz,,,ja,"nur Ausbildungsangebote, keine redaktionellen Inhalte",
Kurz&Buess,,,,http://ursbuess.ch/,DE,Fachöffentlichkeit online,Blog,,,ja,"ehemaliger Journalist. Schreibt über alles, auch über Medienthemen.",
Kurz&Buess,,,,http://ursbuess.ch/,DE,Fachöffentlichkeit online,Blog,,,ja,Medienblog von Urs Buess,
LZ Medien-Holding AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Wird über die NZZ-Mediengruppen-Homepage gecrawlt. Aktuelle Mitteilungen auf der Startseite vorhanden,
