Name,Vorname / weitere Namen (optional),Twitter-Account,Organisation,URL,URL_Sprache,Category,Subcategory,Ort,Total verbreitete Auflage 2013,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,Letzte Aktualisierung am 18.07.2016
Academy for Marketing and Communication ,SAWI,---,"Schweizerisches Ausbildungszentrum für Marketing, Werbung und Verkauf",---,DE,Fachöffentlichkeit online,Medienausbildungsinstanz,,,ja,keine relevanten Informationen vorhanden,
Somedia,,@somedien,,http://www.somedia.ch/news/,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Mischung zwischen News und Medienmitteilungen,
SRG Deutschschweiz,,@srg_d,,---,DE,Fachöffentlichkeit online,Regionalgesellschaft,,,ja,"Print-Magazin ""Link"" / Newsletter (Inside SRG) kann abonniert werden. Inhalte werden über srgd.ch gecrawlt",
SRG Insider,,,,http://www.srginsider.ch/,DE,Fachöffentlichkeit online,,,,ja,"Infos darüber, was rund um die SRG für Junge los ist.",
Stefam Schär-Blog,,,,http://www.stefan-schaer.ch/category/medienkritik/,DE,Fachöffentlichkeit online,Blog,,,ja,"Pointiertes zu Medien, Gesellschaft und Politik",
Stifterverein Medienqualität Schweiz,,---,,http://medienqualitaet-schweiz.ch/,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,Stiftung ist im Aufbau. Noch keine inhaltlichen News vorhanden.,
Stiftung Öffentlichkeit und Gesellschaft,Kurt-Imhof-Stiftung für Medienqualität,,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,keine relevanten Informationen vorhanden,
Stiftung Levedo,,,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,Stiftung der Roche-Erbin und Mäzenin Beatrice Oeri. Keine eigene Homepage.,
Stiftung für Medienvielfalt,,,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,keine eigene Homepage,
Stiftung für Qualitätsjournalismus Ostschweiz,,,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,keine eigene Homepage,
Stiftung für die Forschung in den Sozialwissenschaften,FORS,,,---,DE,Fachöffentlichkeit online,Dienstleistungs- & Kompetenzzentrum für Forschende aus der Schweiz und dem Ausland. Stellt Sozialwissenschaftler eigene Forschung zur Verfügung.,,,ja,Jahresreports in Englisch & Newsletter auf Deutsch. Beide Dokumente nur als PDF erhältlich.,
Stiftung Mercator Schweiz,,---,,http://www.stiftung-mercator.ch/aktuell/neuigkeiten.html,DE,Fachöffentlichkeit online,Stiftung,,,ja,,
Stiftung Wahrheit in den Medien,,---,,http://www.medienwahrheit.ch/,DE,Fachöffentlichkeit online,Stiftung,,,ja,Letzter Inhalt stammt aus dem Jahr 2014.,
Stöhlker & Partner GmbH-Blog,,,,---,DE,Fachöffentlichkeit online,Blog,,,ja,Inhalte nur in PDF-Form verfügbar,
Südostschweiz Pressevertriebs AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Gleiche URL wie Somedia,
Schweizerische Lauterkeitskommission,,,Stiftung der Schweizer Werbung ,http://www.faire-werbung.ch/medien/,DE,Fachöffentlichkeit online,Ausführendes Organ der Stiftung der Schweizer Werbung,,,ja,Viele Dokumentationen nur in PDF-Format verfügbar. Aber einige Inhalte auch in Textform.,
Swiss Radioworld AG,,,,http://www.swissradioworld.ch/blog/aktuelles/,DE,Fachöffentlichkeit online,Radiovermarkter,,,ja,,
Swissreporters,,,,http://www.swissreporter.ch/category/journalismus/,DE,Fachöffentlichkeit online,Medienblog von Peter Sennhauser (Journalist),,,ja,,
syndicom,Comedia,@syndicomTweets,,http://www.syndicom.ch/de/newsaktivitaeten/news.html,DE,Fachöffentlichkeit online,Berufsorganisationen,,,ja,,
Tagblatt Medien AG,,---,,http://www.tagblattmedien.ch/,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,News auf der Startseite,
Tamedia AG,,@Tamedia,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"Keine News, nur Medienmitteilungen",
Tele 1 AG,,@Tele1ZF,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"Keine News, nur Medienmitteilungen",
Telesuisse,Verband der Schweizer Regional Fernsehen,@Telesuisse,,http://www.telesuisse.ch/news/,DE,Fachöffentlichkeit online,Branchenverband,,,ja,,
Theiler Druck AG,,,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine News/Mitteilungen,
Themenpuls,themenpuls.ch,,,http://themenpuls.ch/,DE,Fachöffentlichkeit online,Statistik-Analyse-Webseite,,,ja,,
Timedia Holding AG,,---,,---,I,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Homepage nur auf Italienisch verfügbar,
Tink,,,,www.tink.ch,DE,Fachöffentlichkeit online,Branchenmagazin,,,ja,"Gratis-Wochen-Online-Magazin für Jugendkultur, -politik und Nachwuchssport",
Triner Medien Holding AG,Druckerei Triner,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine News/Mitteilungen,
Triner Medien-Stiftung,,---,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
Unabhängige Beschwerdeinstanz für Radio und Fernsehen,UBI,@BlumRoger,UVEK,http://www.ubi.admin.ch/de/dokumentation_aktuelle_mitteilungen.htm,DE,Fachöffentlichkeit online,Medienrechtliche Beschwerdeinstanz / Aufsichtsbehörde,,,ja,Entscheide primär als PDF verfügbar. Jedoch findet sich zu jedem Dokument ein kurzer Fliesstext. MM werden über diese URL gefunden,
Union nicht-kommerzorientierter Lokalradios,UNIKOM,---,,http://www.unikomradios.ch/index.php?type=archive,DE,Fachöffentlichkeit online,Branchenverband,,,ja,Newsarchiv,
Verband junger Medienmacher,Junge Journalisten Schweiz,,,http://www.jungejournalisten.ch,DE,Fachöffentlichkeit online,Branchenverband,,,ja,,
Verband Schweizer Fachjournalisten,SFJ,,,http://www.sfj-ajs.ch/de/aktuelles,DE,Fachöffentlichkeit online,Branchenverband / Blog,,,ja,Haben auch einen eigenen Blog,
Verband Schweizer Medien,Schweizer Medien,---,VSM,---,DE,Fachöffentlichkeit online,Branchenverband,,,ja,"Verbands-Magazin ""Flashextra"" offen, aber nur als PDF verfügbar",
Verband Schweizer Privatradios,VSP,---,,http://www.vsp-asrp.ch,DE,Fachöffentlichkeit online,Branchenverband,,,ja,"Online-News; SiteURL stets index.php -> eventuell keine Treffer in Weblyzard, da jeder Artikel = gleiche URL",
Verein für Qualität im Journalismus,Quajou,@Quajou,,http://www.quajou.ch,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,,
Vetter Druck AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine relevanten Informationen,
Vogt-Schild Druck AG,,@vsdruck,,http://www.vsdruck.ch/unternehmen/news/,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,gehört zu den AZ Medien,
Walter Feldmann AG,Fridolin Druck und Medien,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Siehe Fridolin Druck AG. Inhalte nur als PDF verfügbar,
Werbemedienforschung,WEMF,---,WEMF AG,http://www.wemf.ch/d,DE,Fachöffentlichkeit online,Marktforschungsorganisation,,,ja,Newsletter kann abonniert werden,
Werbewoche,,@Werbewoche,,http://www.werbewoche.ch/,DE,Fachöffentlichkeit online,Branchenmagazin mit Branchenportal,,,ja,,
Wettbewerbskommission,Weko,---,,---,DE,Fachöffentlichkeit online,Medienrechtliche- & -politische Instanz / Aufsichtsbehörde,,,ja,"keine News, nur Medienmitteilungen",
Wiler Zeitung AG,,@WilerZeitung,,---,---,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine eigene Homepage,
Y&R Group Switzerland,Media Use Index,---,,---,DE,Fachöffentlichkeit online,Kommunikationsagentur,,,ja,keine relevanten Informationen,
Zanetti Claudio-Blog,,,,http://www.zanetti.ch/?cat=7,DE,Fachöffentlichkeit online,Blog,,,ja,nicht nur Medienthemen,
Zanetti Claudio-Blog,,,,http://www.zanetti.ch/?cat=7,DE,Fachöffentlichkeit online,Blog,,,ja,,
Ziegler Druck AG,,@ziegler_druck,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine relevanten Informationen,
Zofinger Tagblatt AG,,@zt_info,,http://ztonline.ch/ueber-uns/aktuell/,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,,
Zürcher Oberland Medien AG,,---,,http://www.zo-medien.ch/nc/medien/news.html,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"News primär als PDF verfügbar, aber zu jeder Meldung ist ebenfalls ein kurzer Fliesstext verfügbar",
Zürcher Regionalzeitungen AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,keine relevanten Informationen,
Zürichsee Medien AG,,---,,http://www.zsm.ch/aktuell.html,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,,
