Name,Additional names,Twitter-Account,Organization,Specific addresses,URL,Language,Category,Subcategory,Country
Engadiner Post,Posta Ladina,@engadinerpost ,Gammeter Druck AG,,http://www.engadinerpost.ch/,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Entlebucher Anzeiger,Entlebucher Anzeiger,@EntlebucherAnz ,Verlag Entlebucher Anzeiger,,http://www.entlebucher-anzeiger.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Espace 2,Espace 2,,SRG SSR,,http://www.rts.ch/espace-2/,FR,Massenmediale Öffentlichkeit,öffentlich-rechtlicher Rundfunk,CH
Fegl Ufficial Surselva,Fegl Ufficial,,Südostschweiz Presse und Print AG (Somedia),,http://www.suedostschweiz.ch/zeitung/fegl-ufficial-surselva,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Fémina,Fémina,@FeminaCh,Tamedia Publications romandes SA,,http://www.femina.ch,FR,Massenmediale Öffentlichkeit,Wochenmagazin (Frauenzeitschrift),CH
Feuille d'Avis de la Béroche,Feuille d'Avis de la Béroche, ,Imprimerie de La Béroche,,http://www.imprimerieberoche.ch/journal.html,FR,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Feuille d'avis officielle de la républiqu et canton de Genève,FAO,,Chancellerie d'Etat du canton de Genève ,,http://www.ge-fao.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Feuille officielle du canton de Fribourg,FO,,Chancellerie d'Etat du canton de Fribourg,,http://fo.fr.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Feuille officielle du Jura bernois,Feuille officielle du Jura bernois,,"Juillerat Chervet SA, Imprimerie",,http://www.sta.be.ch/de/index/staatskanzlei/staatskanzlei/downloads_publikationen/amtsblatt.html,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Finanz und Wirtschaft,Finanz und Wirtschaft,,Verlag Finanz und Wirtschaft AG (Tamedia),,http://www.fuw.ch/,DE,Massenmediale Öffentlichkeit,Zeitschrift,CH
finanzen.ch,"finanzen.ch
 (ehemals stocks.ch)",@finanzenCH,Axel Springer Schweiz AG,,http://www.finanzen.ch,DE,Massenmediale Öffentlichkeit,Finanzportal / Newsportal,CH
finews.ch,finews.ch,@finews_ch,finews AG,,http://www.finews.ch,DE,Massenmediale Öffentlichkeit,Intranet der Schweizer Finanzbranche,CH
FM1today,,,NZZ-Mediengruppe,,,,Massenmediale Öffentlichkeit,Onlineportal,
Foglio ufficiale della Repubblica e Cantone del Ticino,FU,,Amministrazione FU,,www.ti.ch/fu,IT,Massenmediale Öffentlichkeit,Wochenblatt,CH
Fraubrunner Anzeiger,Fraubrunner Anzeiger,,Gemeindeverband Fraubrunner Anzeiger,,http://www.fraubrunner.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Freiburger Nachrichten,Freiburger Nachrichten,,Freiburger Nachrichten AG,,http://www.freiburger-nachrichten.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Freier Schweizer,Freier Schweizer,@freierschweizer ,Kreienbühl Druck AG,,http://www.freierschweizer.ch/cms/schlagzeilen.php,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Fréquence Banane,Fréquence Banane,@frequencebanane ,Fréquence Banane ,,http://www.frequencebanane.ch/,FR,Massenmediale Öffentlichkeit,Hochschulradio,CH
fricktal.info,Bezirksanzeiger,@fricktalinfo ,Mobus AG,,http://fricktal.info/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Fridolin,Die Regionalzeitung mit Amtsblatt im Wirtschaftsraum Glarus, ,Walter Feldmann AG,,http://www.fridolin.ch/frameset.asp?fHigherChapter_ID=39&fChapters_id=39&fSubChapters_id=52&fNextHigherChapters_id=39&ID_Contents=&fTemplatefile=fileListPDFImages.asp&blnPreview=False&blnISO=False&fLanguage_ID=1&fSeason_ID=1,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Frutiger Anzeiger,Frutiger Anzeiger,@frutiglaender ,Frutigländer Medien AG,,http://www.frutiglaender.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Frutigländer,Frutigländer,@frutiglaender ,Frutigländer Medien AG,,http://www.frutiglaender.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Furttaler,Furttaler,,Tamedia AG,,http://www.zuonline.ch/furttaler/index.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
General-Anzeiger,Brugger Generalanzeiger,,Effingerhof AG,,http://www.general-anzeiger.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
GenevaLunch,GenevaLunch,@GenevaLunch,,,http://www.genevalunch.com,EN,Massenmediale Öffentlichkeit,Newsportal (News-Service),CH
Giornale del Popolo,Giornale del Popolo,@giorndelpopolo,Nuova Società Editrice del Giornale del Popolo SA,,http://www.gdp.ch,IT,Massenmediale Öffentlichkeit,Tageszeitung,CH
Glarner Woche,GlarusMitte-Anzeiger,,Südostschweiz Presse und Print AG (Somedia),,http://www.suedostschweiz.ch/zeitung/glarus-s%C3%BCd-anzeiger,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Glarner Woche,GlarusNord-Anzeiger,,Südostschweiz Presse und Print AG (Somedia),,http://www.suedostschweiz.ch/zeitung/glarus-s%C3%BCd-anzeiger,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Glarner Woche,GlarusSüd-Anzeiger,,Südostschweiz Presse und Print AG (Somedia),,http://www.suedostschweiz.ch/zeitung/glarus-s%C3%BCd-anzeiger,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Glückspost,Glückspost,@glueckspost_ch,Ringier AG,,http://www.glueckspost.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitschrift ,CH
GMX.ch,GMX.ch,,"1&1 Mail & Media GmbH, München",,http://www.gmx.ch/,DE,Massenmediale Öffentlichkeit,Newsportal,CH
Gossauer Wochenzeitung,GoZ,,St.Galler Tagblatt AG,,http://www.goz.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Grenchner Stadt-Anzeiger,Grenchner Stadt-Anzeiger,,AZ Medien AG,,http://www.grenchnerstadtanzeiger.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Grenchner Tagblatt,Grenchner Tagblatt,,AZ Medien AG,,http://www.grenchnertagblatt.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
GRRIF,GRRIF,,ARC FM SA,,http://www.grrif.ch/,FR,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Handelszeitung,Handelszeitung,@Handelszeitung,Axel Springer Schweiz AG,,http://www.handelszeitung.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Heimatblatt,Heimatblatt,,Karl Augustin AG,,http://www.augustin.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Helvezin,,@Helvezin,Patronat,,http://www.helvezin.ch/,DE,Massenmediale Öffentlichkeit,Magazin,
Herisauer Zeitung,Herisauer Zeitung,,Appenzeller Medienhaus AG,,http://www.herisauer-zeitung.ch,DE,Massenmediale Öffentlichkeit,Monatsblatt,CH
Höfner Volksblatt,Höfner Volksblatt,@HoefnerVolks ,Höfner Volksblatt,,http://www.hoefner.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
HR Today,HR Today,,jobindex media ag,,http://www.hrtoday.ch,DE,Massenmediale Öffentlichkeit,Human Resource Management-Journal,CH
ICTjournal,ICT Journal,,Netzmedien AG,,http://www.ictjournal.ch,FR,Massenmediale Öffentlichkeit,e-journal,CH
ICTkommunikation,ICT Kommunikation,,Kapi-Media,,http://www.ictk.ch,DE,Massenmediale Öffentlichkeit,Fachzeitschrift,CH
iischers Radio,iischers Radio,@iischersRadio ,iischers Radio,,http://www.iischers.ch/,DE,Massenmediale Öffentlichkeit,nicht-kommerzorientiertes Lokalradio ,CH
Il caffè,Il caffè,,Ringier AG,,http://www.caffe.ch,IT,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Il Grigione Italiano,Il giornale indipendente del grigioni italiano,@Grigione_Italia ,Tipografia Menghini SA,,http://www.ilgrigioneitaliano.ch/,IT,Massenmediale Öffentlichkeit,Wochenblatt,CH
Il Lavoro,"Lavoro, Il",,,,,IT,Massenmediale Öffentlichkeit,,
Il Mattino della domenica,"
Il Mattino della domenica",,,,http://www.mattinonline.ch/,IT,Massenmediale Öffentlichkeit,Newsportal,CH
Illustrazione Ticinese,Illustrazione Ticinese,,,,http://www.illustrazione.ch,IT,Massenmediale Öffentlichkeit,,CH
Infamy,Infamy,@infamyblog ,Medienbüro Dominique Spirgi,,http://infam.antville.org/,DE,Massenmediale Öffentlichkeit,Newsportal,CH
Inside Paradeplatz,Inside Paradeplatz,@InsideParade ,Inside Paradeplatz GmbH,,http://insideparadeplatz.ch/,DE,Massenmediale Öffentlichkeit,Newsportal,CH
Interna,,,,,,,Massenmediale Öffentlichkeit,Redationsblog bei der Südostschweiz von Chefredaktor David Sieber. Existiert seit dem Abgang von Sieber im Jahre 2015 nicht mehr.,
Joiz,Joiz,@JOIZTV ,JOIZ SCHWEIZ AG,,http://www.joiz.ch/home,DE,Massenmediale Öffentlichkeit,TV-Station,CH
Journal de Morges,Journal de Morges,,Tamedia Publications romandes SA ,,http://www.journaldemorges.ch/,FR,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Journal officiel de la République et Canton du Jura,Journal officiel de la République et Canton du Jura,,Chancellerie d'Etat du canton de Jura,,http://rsju.jura.ch/extranet/common/jojd/jo.hcst,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Jungfrau Zeitung,jungfrauzeitung.ch,@JungfrauZeitung,Gossweiler Media AG,,http://www.jungfrauzeitung.ch,DE,Massenmediale Öffentlichkeit,Zeitung,CH
Kabel1.ch,Kabel1.ch,,,,http://www.kabel1.ch,DE,Massenmediale Öffentlichkeit,TV ,CH
Kanal K,Kanal K, ,,,http://www.kanalk.ch/,DE,Massenmediale Öffentlichkeit,nicht-kommerzorientiertes Lokalradio ,CH
Kantonsblatt Basel-Stadt,Kantonsblatt Basel-Stadt, ,,,http://www.kantonsblatt.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Kilchberger Gemeindeblatt,Kilchberger Gemeindeblatt,,,,,DE,Massenmediale Öffentlichkeit,,CH
Klein Report,Kleinreport,@kleinreport,,,http://www.kleinreport.ch,DE,Massenmediale Öffentlichkeit,Täglicher Medien-Newsletter,CH
Klettgauer Bote,,,,,,,Massenmediale Öffentlichkeit,Entstand 2014 aus der Fusion der Klettgauer Zeitung und der Schaffhauser Landzeitung,
Klettgauer Zeitung,Klettgauer Zeitung/Schaffhauserland,,,,http://www.klettgauerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Heisst ab 2014 Klettgauer Bote (Fusion mit Schaffhauser Landzeitung),CH
Klosterser Zeitung,Klosterser Zeitung,,,,http://www.klosterserzeitung.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Klotener Anzeiger,Klotener Anzeiger,@klotenanzeiger ,,,http://www.kloteneranzeiger.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Könizer Zeitung,Könizer Zeitung,,,,http://www.bm-media.ch/,DE,Massenmediale Öffentlichkeit,Monatszeitung,CH
Ktipp,KTipp,,,,http://www.ktipp.ch/,DE,Massenmediale Öffentlichkeit,Zeitschrift,CH
Küsnachter,Küsnachter,,,,http://neu.lokalinfo.ch/aktuell/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
La Broye,La Broye Hebdo,,Tamedia Publications romandes SA,,http://www.labroye.ch,FR,Massenmediale Öffentlichkeit,Wochenzeitung,CH
La Côte,La Côte,,Etablissements Ed. Cherix SA,,http://www.lacote.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
La Gazette de la Région,La Gazette de la Région,,Rhône-Médias SA,,http://www.la-gazette.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
La Gazette de Martigny,La Gazette de Martigny,,La Gazette de Martigny,,http://www.lagazette.ch/,FR,Massenmediale Öffentlichkeit,2x monatlich,CH
La Gruyère,Le journal du sud fribourgeois,@gruyere_journal ,Glasson Imprimeurs-Editeurs SA,,https://www.lagruyere.ch/,FR,Massenmediale Öffentlichkeit,3x wöchentlich,CH
La Liberté,La Liberté,@TweetLaLiberte,,,http://www.laliberte.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
La Premiere,La 1ère, ,,,http://www.rts.ch/la-1ere/,FR,Massenmediale Öffentlichkeit,öffentlich-rechtlicher Rundfunk,CH
La RegioneTicino,LaRegioneTicino,,,,http://www.laregione.ch,IT,Massenmediale Öffentlichkeit,Tageszeitung,CH
La Rivista del Locarnese e Valli,La Rivista del Locarnese e Valli,,,,http://www.editore.ch/dado/index.php?option=com_content&view=article&id=51&Itemid=66&lang=de,IT,Massenmediale Öffentlichkeit,Monatsmagazin,CH
La Tele Vaud-Fribourg,,,,,http://www.latele.ch/,FR,Massenmediale Öffentlichkeit,Privatfernsehsender (grösstes der Westschweiz),
La Voce del San Bernardino,La Voce del San Bernardino,,,,http://www.rezzonico.ch/voce/welcome.html,IT,Massenmediale Öffentlichkeit,Wochenblatt,CH
Ladies Drive,Ladies Drive,@LadiesDrive,,,http://ladiesdrive.tv,DE,Massenmediale Öffentlichkeit,Businessmagazin (Kaderfrauen) 4x jährlich,CH
Laupen Anzeiger,Laupen Anzeiger,,,,,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Lausanne FM,LFM,,,,http://lausannefm.ch,FR,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Le Courrier,,@lecourrier,Nouvelle association du Courrier (NAC),,http://www.lecourrier.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Le Franc-Montagnard,Le Franc-Montagnard,,Imprimerie Le Franc-Montagnard SA,,http://www.franc-mont.ch/Journal.html,FR,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Le Journal de Sierre,JDS,@lejds ,Rhône-Médias SA,,http://www.lejds.ch/,FR,Massenmediale Öffentlichkeit,14-täglich,CH
Le Journal du Jura,Le Journal du Jura,@JournalduJura ,W. Gassmann AG,,http://www.journaldujura.ch/,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Le Journal malin des Genevois,GHI,,Société de Publications Nouvelles SA,,http://www.ghi.ch,FR,Massenmediale Öffentlichkeit,Kostenlose Zeitung,CH
Le Jura libre,Le Jura libre,@LeJuraLibre ,,,http://www.maj.ch/maj/5,FR,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Le Matin,Le Matin,@Lematinch,,,http://www.lematin.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Le Matin Dimanche,Le Matin Dimanche,@matindimanche ,,,http://www.lematindimanche.ch/,FR,Massenmediale Öffentlichkeit,Sonntagszeitung,CH
Le Matin semaine,Le Matin semaine, ,,,,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Le Messager,Le Messager,,,,http://www.lemessager.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Le Nouvelliste,Le Nouvelliste,@lenouvelliste,,,http://www.lenouvelliste.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Le Progrès / Le Courrier,Le Progrès / Le Courrier,@lecourrier ,,,http://www.progrescourrier.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Le Quotidien Jurassien,Le Quotidien Jurassien,,,,http://lqj.ch/,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Le Régional,Le Régional,,,,http://www.leregional.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Le Républicain,Le Républicain, ,,,http://www.lerepublicain.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Le Temps,Le Temps,@letemps_sa,,,http://www.letemps.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
L'Echo du Gros-de-Vaud,L'Echo du Gros de Vaud,,Edital SA,,,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Lenzburger Bezirks-Anzeiger,Lenzburger Bezirks-Anzeiger,,,,http://www.lba.azmedien.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Lesquotidiennes,"
Lesquotidiennes (24heures)",@lesquotidiennes,,,http://www.lesquotidiennes.com,FR,Massenmediale Öffentlichkeit,Onlineplattform,CH
L'Express,"arcinfo.ch (Le site internet de L'Express, L'impartial, Canal Alpha)",@arcinfo ,Société Neuchâteloise de Presse SA,,http://www.lexpress.ch/fr/,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
L'Hebdo,L'Hebdo,@lhebdo,Ringier AG,,http://www.hebdo.ch/,FR,Massenmediale Öffentlichkeit,Nachrichtenmagazin ,CH
Liechtensteiner Vaterland,Liechtensteiner Vaterland,@vaterlandnews ,,,http://www.vaterland.li,DE,Massenmediale Öffentlichkeit,Tageszeitung,L/CH
Liechtensteiner Volksblatt,LB,@Volksblatt,,,http://www.volksblatt.li,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
LIEWO,LIEWO - Die Sonntagszeitung, ,,,http://www.vaterland.li/page/liewo/index.cfm,DE,Massenmediale Öffentlichkeit,Sonntagszeitung (kostenlos),LI
LikeMag,Like Mag,,,,,DE,Massenmediale Öffentlichkeit,Onlineplattform,
L'Illustré,L'Illustré,,Ringier AG,,http://www.illustre.ch,FR,Massenmediale Öffentlichkeit,Zeitschrift,CH
Limmattaler Zeitung,Limmattaler Zeitung,@azLimmattaler,,,http://www.limmattalerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
L'Impartial,L'Impartial,@arcinfo ,Société Neuchâteloise de Presse SA,,http://www.limpartial.ch/fr/,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
L'Informatore,L'Informatore, ,Tipografia Stucchi SA,,http://www.informatore.ch/,IT,Massenmediale Öffentlichkeit,Wochenblatt,CH
Link,,,,,,,Massenmediale Öffentlichkeit,Mitgliedermagazin der SRG Deutschschweiz,
Luzerner Kantonsblatt,Luzerner Kantonsblatt,,,,http://www.lu.ch/index/staatskanzlei/kantonsblatt.htm,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Luzerner Nachrichten,zt Luzerner Nachrichten,,,,http://www.luzernernachrichten.ch/,DE,Massenmediale Öffentlichkeit,,CH
Lysser & Aarberger Woche,Lysser und Aarberger Woche,,,,http://www.bielerpresse.ch/_gratiszeitungen_217_1_1_3_1_1_process_editmode.html,DE,Massenmediale Öffentlichkeit,14-täglich,CH
March-Anzeiger,March-Anzeiger,,,,http://www.marchanzeiger.ch/index.cfm,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Meyrin FM,Meyrin FM, ,,,,FR,Massenmediale Öffentlichkeit,nicht-kommerzorientiertes Lokalradio ,CH
Migros Magazin,migrosmagazin.ch,@MigrosMagazin,,,http://www.migrosmagazin.ch/,DE,Massenmediale Öffentlichkeit,Zeitschrift,CH
Muttenzer & Prattler Anzeiger,Muttenzer & Prattler Anzeiger,,,,http://www.muttenzeranzeiger.ch/startseite.cfm,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
NA Presseportal,Presseportal.ch,@presseportal_ch ,,,http://www.presseportal.ch,DE,Massenmediale Öffentlichkeit,Presseportal,CH
Nachrichten.ch,Nachrichten.ch,,,,http://www.nachrichten.ch/,DE,Massenmediale Öffentlichkeit,Newsportal,CH
Nebelspalter,Nebelspalter,@Nebelspalter,,,http://www.nebelspalter.ch/,DE,Massenmediale Öffentlichkeit,Zeitschrift,CH
Neo1,Radio Emme,@radio_neo1 ,,,http://www.radioemme.ch/home.html,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Neue Fricktaler Zeitung,NFZ,,,,http://www.nfz.ch/,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Neue Luzerner Zeitung,luzernerzeitung.ch,@Neue_LZ,,,http://www.luzernerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neue Nidwaldner Zeitung,luzernerzeitung.ch - nidwaldnerzeitung.ch,@Neue_NZ,,,http://www.nidwaldnerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neue Obwaldner Zeitung,luzernerzeitung.ch - obwaldnerzeitung.ch,@Neue_OZ_,,,http://www.obwaldnerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neue Schwyzer Zeitung,luzernerzeitung.ch - schwyzerzeitung.ch,@Neue_SZ,,,http://www.schwyzerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neue Urner Zeitung,luzernerzeitung.ch - urnerzeitung.ch,@Neue_UZ,,,http://www.urnerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neue Zuger Zeitung,luzernerzeitung.ch - zugerzeitung.ch,@Neue_ZZ,,,http://www.zugerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neue Zürcher Zeitung,NZZ,@NZZ ,,,http://www.nzz.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Neuer Anzeiger (Sulgen),Neuer Anzeiger (Sulgen),,,,http://www.neueranzeiger.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Neues Bülacher Tagblatt,Neues Bülacher Tagblatt (Zürcher Unterländer),,,,http://www.nbt.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
news.ch,news.ch,,,,http://www.news.ch,DE,Massenmediale Öffentlichkeit,Newsportal,CH
News4Press.com,News4Press.com,,,,http://www.news4Press.com,DE,Massenmediale Öffentlichkeit,PR-Internetmagazin,CH
Newsnet,,,,,Newsnetz.ch,DE,Massenmediale Öffentlichkeit,Online-Verbund von Tageszeitungen,
Nidauer Anzeiger,Nidauer Anzeiger,,,,http://www.bielerpresse.ch/_nidauer-anzeiger_284_1_1_3_1_1_process_editmode.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Niederämter Anzeiger,Niederämter Anzeiger,,,,http://www.niederaemter-anzeiger.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Novitats,Novitats,,,,,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
NZZ am Sonntag,NZZaS,@NZZaS ,,,http://www.nzz.ch/nzzas/nzz-am-sonntag/,DE,Massenmediale Öffentlichkeit,Sonntagszeitung,CH
NZZ Folio,NZZ Folio,@nzzfolio ,,,http://www.nzzfolio.ch/,DE,Massenmediale Öffentlichkeit,Zeitschrift,CH
NZZ Online,NZZ Online,@NZZ ,,,http://www.nzz.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Oberbaselbieter Zeitung,ObZ, ,,,http://www.triscom.ch/oberbaselbieter-zeitung/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Obersee Nachrichten,ON,,,,http://www.obersee-nachrichten.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Oberwiggertaler,Oberwiggertaler,,,,http://www.oberwiggertaler.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Oltner Tagblatt,Oltner Tagblatt,@OltnerTagblatt ,,,http://www.oltnertagblatt.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
one FM,one FM,,,,http://www.onefm.ch/,FR,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Onlinereports,Onlinereports,@OnlineReports ,,,http://www.onlinereports.ch/,DE,Massenmediale Öffentlichkeit,Newsportal,CH
Ostschweiz am Sonntag,Ostschweiz am Sonntag,,,,http://www.ostschweiz-am-sonntag.ch/,DE,Massenmediale Öffentlichkeit,Sonntagszeitung,CH
Planet 105,Radio 105,,,,http://www.105.ch,DE,Massenmediale Öffentlichkeit,Radio,CH
PME Magazine,PME Magazine,@PME_Magazine ,,,http://www.pme.ch,FR,Massenmediale Öffentlichkeit,Zeitschrift,CH
Popolo e Libertà,Popolo e Libertà,,,,http://www.ppd.ch/abbonamento-popolo-e-liberta/,IT,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Pöschtli,Pöschtli,,,,,"DE,RM",Massenmediale Öffentlichkeit,Wochenzeitung,CH
PR Urgent,PR Urgent,@prurgent ,,,http://www.prurgent.com,EN,Massenmediale Öffentlichkeit,PR-Portal,CH
Prättigauer Post,Prättigauer Post,,,,http://www.praettigauerpost.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
PulsAcht,Puls Acht,,,,,DE,Massenmediale Öffentlichkeit,TV-Station,
Quartierecho,Quartierecho, ,,,http://www.quartierecho.ch/,DE,Massenmediale Öffentlichkeit,14-täglich,CH
Radio 1,Radio 1,,,,http://www.radio1.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio 24,Radio 24,@radio24 ,,,http://www.radio24.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio 32,Radio 32,@radio32ag ,,,http://www.radio32.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio 3fach,Radio 3fach,@Radio3FACH ,,,http://www.3fach.ch/,DE,Massenmediale Öffentlichkeit,nicht-kommerzorientiertes Lokalradio ,CH
Radio 3i,Radio 3i,@radio3i ,,,http://www.radio3i.ch/,IT,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Argovia,Radio Argovia,@RadioArgovia,,,http://www.argovia.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Basilisk,Radio Basilisk,@Radio_Basilisk ,,,http://www.basilisk.ch/startseite,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio BeO,Radio BeO, ,,,http://www.radiobeo.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Bern 1,Radio Bern 1,,,,http://www.radiobern1.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Blind Power,,,,,http://www.radioblindpower.ch/,DE,Massenmediale Öffentlichkeit,Ausbildungs- und Integrationsradio für sehbehinderte Menschen,
Radio Canal 3,Radio Canal 3,,,,http://www.canal3.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Central,Radio Central,,,,http://www.radiocentral.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Chablais,Radio Chablais,,,,http://www.radiochablais.ch/,FR,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Chico Schweiz,,,,,,,Massenmediale Öffentlichkeit,Schülerradio,
Radio Cité Genève,Radio Cite Geneve,,,,http://www.radiocite.ch/,FR,Massenmediale Öffentlichkeit,nicht-kommerzorientiertes Lokalradio ,CH
Radio Energy,Radio Energy,,,,http://www.energy.ch,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Eviva,Radio Eviva,,,,http://www.eviva.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Fiume Ticino,Radio Fiume,@radioticino ,,,http://www.radioticino.com/default.asp,IT,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio FM 1,Radio FM 1, ,,,http://www.radiofm1.ch/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Freiburg,Radio Fribourg,@FreiburgNews ,,,http://www.radiofr.ch/freiburg.html,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Frequence Jura,RFJ,@radiorfj ,,,http://www.rfj.ch/,FR,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Radio Gantrisch,,,,,,,Massenmediale Öffentlichkeit,,
