Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Fehr, Martina",,CH,,Vincenzo,,,,@MartinaFehr,,Südostschweiz,Chefredaktorin ,107,5,https://twitter.com/MartinaFehr
"Fellmann, Fabian",,Bruxelles,,Vincenzo,,,,@fabian_fellmann,,,EU correspondent from Switzerland,864,548,https://twitter.com/fabian_fellmann
"Ferber, Michael",,CH,,Vincenzo,,,,@mferberNZZ,,Neue Zürcher Zeitung,NZZ-Wirtschaftsredaktor,4'738,2'829,https://twitter.com/mferberNZZ
"Fessler, Pascal",,CH,,Vincenzo,,,,@PascalFessler,,,"WebTV, Webvideo, New Media, Streaming, Aviatik, Fliegen, PPL,",273,811,https://twitter.com/PascalFessler
"Fetzer, Jost",,CH,,Vincenzo,,,,@JostFetzer,,Tages-Anzeiger,,121,102,https://twitter.com/JostFetzer
"Feusi, Dominik",,CH,,Vincenzo,,,,@feusl,,Basler Zeitung,Journalist,1'114,9'083,https://twitter.com/feusl
"Fichter, Adrienne",,CH,,Vincenzo,,,,@adfichter,,NZZ,Social Media & Digital-Redaktorin,3540,7363,https://twitter.com/adfichter
"Fisch, Christoph",,CH,,Vincenzo,,,,@FischNZZ,,NZZ,Redaktor,347,1237,https://twitter.com/FischNZZ
"Fischer, A. Peter",,CH,,Vincenzo,,,,@pfi_nzz,,NZZ,Leiter der Wirtschaftsredaktion der NZZ,566,303,https://twitter.com/pfi_nzz
"Fivian, Christine",,CH,,Vincenzo,,,,@cfivian,,,,175,1'578,https://twitter.com/cfivian
"Flach, Beat ",,CH,,Vincenzo,,,,@beatflach,,,"Nationalrat (glp), Jurist (MLaw) beim SIA",2243,1926,https://twitter.com/beatflach
"Flaviano, Cathy",,CH,,Vincenzo,,,,@nonuck,,SRF,,131,23,https://twitter.com/nonuck
"Flueckiger, Jan",,CH,,Vincenzo,,,,@fljan,,NZZ,Bundeshausredaktor,1'317,448,https://twitter.com/fljan
"Flury, Corine Turrini",,CH,,Vincenzo,,,,@CtfCrea,,Crea Communication,Journalistin BR,1'587,31.8 Tsd,https://twitter.com/CtfCrea
"Fonti, Mirjam",,CH,,Vincenzo,,,,@telecomuser,,,Journalistin,610,1'448,https://twitter.com/telecomuser
"Fopp, Andrea",,CH,,Vincenzo,,,,@afopp,,,Journalistin,477,110,https://twitter.com/afopp
"Foppa, Daniel",,CH,,Vincenzo,,,,@DFoppa,,Tages-Anzeiger,Inlandchef,1'838,2'093,https://twitter.com/Dfoppa
"Forster, Hanspeter",,CH,,Vincenzo,,,,@HpForster,,SF,Bundeshausredaktor,1'370,28,https://twitter.com/HpForster
"Franke, Su",,CH,,Vincenzo,,,,@sufranke,,corporate-dialog.ch,"bloggig, Beraterin und Dozentin für Unternehmenskommunikation",7084,12.9 Tsd,https://twitter.com/sufranke
"Frepp, Mayka",,CH,,Vincenzo,,,,@maycomment,,Tele Suedostschweiz Glarus,"Journalistin, Redaktionsleiterin und MAZ-Studentin",123,158,https://twitter.com/maycomment
"Frick, Jean-Claude",,CH,,Vincenzo,,,,@jcfrick,,Chief Editor & Founder of http://www.iFrick.ch,Tech Blogger & IT Journalist,3'235,31.7 Tsd,https://twitter.com/jcfrick
"Fuchs, Mario",,CH,,Vincenzo,,,,@derschlauefuchs,,SRF Rundschau,Journalist,311,266,https://twitter.com/derschlauefuchs
"Gabbud, Jean-Yves",,CH,,Vincenzo,,,,@JeanYvesGabbud,,Le Nouvelliste,Journalist,787,790,https://twitter.com/JeanYvesGabbud
"Gafafer, Tobias",,CH,,Vincenzo,,,,@tgafafer,,St.Galler Tagblatt,,1'237,290,https://twitter.com/tgafafer
"Gasser, Michael",,CH,,Vincenzo,,,,@HerrFinger,,,Journalist,127,93,https://twitter.com/HerrFinger
"Gasser, Tobias",,CH,,Vincenzo,,,,@TobGass,,Radio SRF Echo,Journalist,1'011,1'589,https://twitter.com/TobGass
"Gaugler, Adrian",,CH,,Vincenzo,,,,@adriangaugler,,TeleBasel,Leitet die Sportabteilung,262,203,https://twitter.com/adriangaugler
"Gautier, Dinu",,CH,,Vincenzo,,,,@DinuGautier,,Wochenzeitung,Redaktor,871,956,https://twitter.com/DinuGautier
"Gemperle, Philipp",,CH,,Vincenzo,,,,@philgemperle,,SRF,Journalist - Ostschweiz - Regionaljournal - Schweizer Radio und Fernsehen SRF,135,21,https://twitter.com/philgemperle
"Gemperli, Simon",,CH,,Vincenzo,,,,@Simon_Gemperli,,NZZ,Journalist,461,220,https://twitter.com/Simon_Gemperli
"Gerig, Karen N.",,CH,,Vincenzo,,,,@KarenNGerig,,TagesWoche,"Journalistin, Kunstkritikerin",638,437,https://twitter.com/KarenNGerig
"Gerny, Daniel",,CH,,Vincenzo,,,,@DanielGerny,,Neue Zürcher Zeitung,,1'166,740,https://twitter.com/DanielGerny
"Gertsch, Christof",,CH,,Vincenzo,,,,@swimchris,,NZZ/NZZ am Sonntag,Editor ,452,604,https://twitter.com/swimchris
"Giger, Beat",,CH,,Vincenzo,,,,@BeatGiger,,Tagesschau SRF,Journalist,161,191,https://twitter.com/BeatGiger
"Giger, Matthias ",,CH,,Vincenzo,,,,@mgitweet,,,"Interessiert an Informationswissenschaft, Medienbildung und Medien generell, engagiert in der Medienkritik",100,181,https://twitter.com/mgitweet
"Gilli, Markus",,CH,,Vincenzo,,,,@MarkusGilli,,,,5567,1386,https://twitter.com/MarkusGilli
"Girod, Bastien",,CH,,Vincenzo,,,,@bastiengirod,,,Nationalrat Grüne Partei Schweiz,9302,1517,https://twitter.com/bastiengirod
"Glättli, Balthasar",,CH,,Vincenzo,,,,@bglaettli,,,#Nationalrat #Grüne - Fraktionspräsident der Grünen im National- und Ständerat.,12.5 Tsd,9955,https://twitter.com/bglaettli
"Glaus, Daniel",,CH,,Vincenzo,,,,@Daniel_Glaus,,SonntagsZeitung und MatinDimanche,Reporter for Investigative Team of Swiss Weeklies,722,170,https://twitter.com/Daniel_Glaus
"Glogger, Beat",,CH,,Vincenzo,,,,@Scifi2013,,,Wissenschaftjournalist und Science-Thriller-Autor,113,132,https://twitter.com/Scifi2013
"Glur, Dani",,CH,,Vincenzo,,,,@daniglur_,,Radio 3fach,Programmleiter,148,67,https://twitter.com/daniglur_
"Gmuer, Heidi",,Sydney,,Vincenzo,,,,@HeidiGmuer,,NZZ,Oceania correspondent for the Swiss newspaper Neue Zürcher Zeitung - NZZ,629,1'052,https://twitter.com/HeidiGmuer
"Gnocchi, Aldo",,CH,,Vincenzo,,,,@AldoGnocchi,,,I'm a Blogger I Social Media Enthusiast I Content Marketer I Technology Lover I Early Adopter I Owner @GnocchiGmbH Digital Marketing I Father I Love @Sunnechind,3003,12.7 Tsd,https://twitter.com/AldoGnocchi
"Göbel, Matthias",,CH,,Vincenzo,,,,@delay1,,,"Redakteur, Blogger",1'099,7'134,https://twitter.com/delay1
"Golder, Lukas",,CH,,Vincenzo,,,,@LukasGolder,,,,272,159,https://twitter.com/LukasGolder
"Gossweiler, Andreas",,CH,,Vincenzo,,,,@silver_train,,,Journalist,781,6'867,https://twitter.com/silver_train
"Greilinger, Michael",,CH,,Vincenzo,,,,@M_Greilinger,,TeleBasel,Redaktor/Produzent,387,832,https://twitter.com/M_Greilinger
"Grob, Ronnie",,D,,Vincenzo,,,,@ronniegrob,,Medienwoche,"Blogger, Journalist",4'586,2'896,https://twitter.com/ronniegrob
"Grosjean, Arthur",,CH,,Vincenzo,,,,@ArthurFlash,,,"Journlist, Correspondant im Bundeshaus pour la Tribune de Genève et 24 Heures",908,2'696,https://twitter.com/ArthurFlash
"Gross, Dominik",,CH,,Vincenzo,,,,@do_gross,,Tages-Anzeiger,Reporter,800,1'069,https://twitter.com/do_gross
"Grossenbacher, Alban",,CH,,Vincenzo,,,,@agrossenbacher,,,"Gründer des Fussballmagazins @kurzpass, Product Manager bei @newsnetz, Student @fhhwz",172,158,https://twitter.com/agrossenbacher
"Grossenbacher, Timo",,CH,,Vincenzo,,,,@wnstns,,TagesAnzeiger und SonntagsZeitung. ,Interactive News Developer,399,1'068,https://twitter.com/wnstns
"Gruhnwald, Sylke",,CH,,Vincenzo,,,,@SylkeGruhnwald,,NZZ Data,Team Lead,1'564,7'482,https://twitter.com/SylkeGruhnwald
"Grund, Justyna",,CH,,Vincenzo,,,,"@JustynaGrund
  

    ",,,Beauty- & Lifestyle Blogger | Geek | Senior Social Media & Community Manager @ Omnicom Media Group (OMD / PHD,1183,7050,https://twitter.com/JustynaGrund
"Grundlehner, Werner",,CH,,Vincenzo,,,,@Grundi65,,NZZ,Wirtschaft @NZZ ,307,733,https://twitter.com/Grundi65
"Grünenfelder, Anja",,CH,,Vincenzo,,,,@agruenenfelder,,NZZ,"Nachrichtenredaktion, Stv. Nachrichtenchefin",451,335,https://twitter.com/agruenenfelder
"Gujer, Eric",,CH,,Vincenzo,,,,@ericgujer,,NZZ,Chefredaktor NZZ,1499,265,https://twitter.com/ericgujer
"Günter, Samuel",,CH,,Vincenzo,,,,@Samuel_Guenter,,Berner Oberländer,Journalist,195,1'137,https://twitter.com/Samuel_Guenter
"Gutknecht, Stephan",,CH,,Vincenzo,,,,@GutknechtSteph,,Radio Basilisk,"Redaktor, Sportreporter",302,808,https://twitter.com/GutknechtSteph
"Gyr, Marcel",,CH,,Vincenzo,,,,@Magyr61,,NZZ,Reporter,538,578,https://twitter.com/Magyr61
"Habegger, Tobias",,CH,,Vincenzo,,,,@TobiasHabegger,,Berner Zeitung,Journalist,593,991,https://twitter.com/TobiasHabegger
"Häberli, Prisca",,CH,,Vincenzo,,,,@prisca_haeberli,,TeleBernTV,"Videojournalistin, Produzentin #TeleBaernTV, Journalistin BR ",119,106,https://twitter.com/prisca_haeberli
"Hablützel, Stefanie",,CH,,Vincenzo,,,,@habste,,"Regionaljournal Graubünden, Radio SRF",,493,1'460,https://twitter.com/habste
"Haegler, Fabian",,CH,,Vincenzo,,,,@FabianHaegler,,Aargauer Zeitung,Ressortleiter,249,14,https://twitter.com/FabianHaegler
"Haegler, Tom",,CH,,Vincenzo,,,,@TomHaegler,,"SRF, drs2.ch",Editor,499,805,https://twitter.com/TomHaegler
"Haemmerli, Thomas",,"São Paulo, Zurich, Mexico D.F. & Tbilisi, Georgia",,Vincenzo,,,,@HaemmerliT,,Westnetz,Redaktionsleiter,270,56,https://twitter.com/HaemmerliT
"Haessig, Lukas",,CH,,Vincenzo,,,,@lukashaessig,,,Journalist,1'410,101,https://twitter.com/lukashaessig
"Haeusler, Thomas",,CH,,Vincenzo,,,,@thaeusler,,SRF,Science reporter,390,71,https://twitter.com/thaeusler
"Häfliger, Markus",,CH,,Vincenzo,,,,@M_Haefliger,,"Neue Zürcher Zeitung (NZZ), Bundeshausteam",Leiter der Bundeshausredaktion,2'391,1'423,https://twitter.com/M_Haefliger
"Hahn, Wilma",,CH,,Vincenzo,,,,@WilmaHahn,,,,121,360,https://twitter.com/WilmaHahn
"Halbeis, Matthias",,CH,,Vincenzo,,,,@matthiashalbeis,,,"Journalist, Co-Leitung Ressort Politik BLICK-Gruppe",813,1'518,https://twitter.com/matthiashalbeis
"Halbeisen, Fabio",,CH,,Vincenzo,,,,@halbiise,,TeleBasel,Sportredaktor,152,333,https://twitter.com/halbiise
"Halter, Georg",,CH,,Vincenzo,,,,@georg_halter,,,TV-Journalist und Moderator,1'337,698,https://twitter.com/georg_halter
"Hamilton, Bettina",,CH,,Vincenzo,,,,@HamiltonIrvine,,,Ab Januar 2016: Chefredaktorin der Limmattaler Zeitung,256,937,https://twitter.com/HamiltonIrvine
"Hämmann, Christoph",,CH,,Vincenzo,,,,@hae_mann,,Berner Zeitung,Stadtredaktor ,275,76,https://twitter.com/hae_mann
"Hanimann, Carlos",,CH,,Vincenzo,,,,@crls__,,Wochenzeitung,Reporter,1'846,2'600,https://twitter.com/crls__
"Hartmann, Nik",,CH,,Vincenzo,,,,@Nikhartmann,,SRF 3,Moderator,25'500,4'316,https://twitter.com/Nikhartmann
"Hartmann, Silvan",,CH,,Vincenzo,,,,@silvanhartmann,,AZ Medien,"Journalist,  Reporter, Onliner",580,949,https://twitter.com/silvanhartmann
"Haslebacher, Martin",,CH,,Vincenzo,,,,@Haslebacher,,BZ Berner Zeitung,"Leiter Kultur Leben Dialog, BZ Berner Zeitung. ",626,3'401,https://twitter.com/Haslebacher
"Hasler, Sonja",,CH,,Vincenzo,,,,@SonjaHasler,,,,3'014,749,https://twitter.com/SonjaHasler
"Hasler, Thomas",,CH,,Vincenzo,,,,@thas_on_air,,Tages-Anzeiger,Gerichtsreporter,166,331,https://twitter.com/thas_on_air
"Hassler, Pierina",,CH,,Vincenzo,,,,@giapier,,Südostschweiz,Journalistin,183,193,https://twitter.com/giapier
"Häuptli, Lukas",,CH,,Vincenzo,,,,@LukasHaeuptli,,NZZ am Sonntag,Redaktor,781,28,https://twitter.com/LukasHaeuptli
"Hauri, Marcel ",,CH,,Vincenzo,,,,@jazzomaniac,,Computerworld.ch,Vice Editor in Chief,318,1'814,https://twitter.com/jazzomaniac
"Hauschild, Sara",,CH,,Vincenzo,,,,@hauschsa,,Regionaljournal Graubünden,Journalistin,176,212,https://twitter.com/hauschsa
"Hausendorf, Lukas",,CH,,Vincenzo,,,,@LukasHausendorf,,20 Minuten Basel,Journalist,495,810,https://twitter.com/LukasHausendorf
"Hausmann, Roger",,CH,,Vincenzo,,,,@roger_hausmann,,,"#Texter, #Dozent und #Referent. // #Text. Mit alles. Und viel scharf. // #askDrText // #Marketing, #PR und #Werbung.",3371,16.3 Tsd,https://twitter.com/roger_hausmann
"Hediger, Patrick",,CH,,Vincenzo,,,,@hediger,,,"Journalist, Kommunikator",1'498,12.1 Tsd,https://twitter.com/hediger
"Heer, Andreas",,CH,,Vincenzo,,,,@andiheer,,Netzwoche,Stv. Chefredaktor,1'720,6'339,https://twitter.com/andiheer
"Heilprin, John",,CH,,Vincenzo,,,,@JohnHeilprin,,"@AP, @wef @davos, @americanalpine","Chief Correspondent, Media Leader, Board Director",4'196,4'093,https://twitter.com/JohnHeilprin
"Heim, Bea",,CH,,Vincenzo,,,,@beaheim,,,Nationalrätin Kanton Solothurn,1697,291,
"Heim, Michael",,CH,,Vincenzo,,,,@Michael_Heim,,Schweiz am Sonntag,Journalist,413,594,https://twitter.com/Michael_Heim
"Heimgartner, Ladina",,CH,,Vincenzo,,,,@Lheimgartner,,SRG SSR,Leiterin Märkte und Qualität SRG SSR,104,17,https://twitter.com/Lheimgartner
"Hermann, Michael",,CH,,Vincenzo,,,,@mhermann_,,,Politgeograph @ sotomo @ uzh,5'078,761,https://twitter.com/mhermann_
"Heuberger, Dagmar",,CH,,Vincenzo,,,,@Dagmar_Aarau,,"Die Nordwestschweiz, Aargauer Zeitung",Ressortleiterin Ausland,193,332,https://twitter.com/Dagmar_Aarau
"Heuss, Christian",,CH,,Vincenzo,,,,@smartscience,,,,447,165,https://twitter.com/smartscience
"Hieringer, Rolf",,CH,,Vincenzo,,,,@RolfHieringer,,SRF,Leiter Regionalredaktionen,468,313,https://twitter.com/RolfHieringer
"Hildebrand, Sara",,CH,,Vincenzo,,,,@HildebrandSara,,SRF,Moderatorin,1'227,458,https://twitter.com/HildebrandSara
"Hill, Tara",,CH,,Vincenzo,,,,@tarajuliahill,,,"Journalistin, Radiomoderatorin",726,1'020,https://twitter.com/tarajuliahill
"Hitz, Martin",,CH,,Vincenzo,,,,@medienspiegler,,,,1'757,3'209,https://twitter.com/medienspiegler
"Hoch, Ueli",,CH,,Vincenzo,,,,@UeliHoch,,AWP Finanznachrichten,Chefredaktion,233,133,https://twitter.com/UeliHoch
"Hoesch, Felix ",,CH,,Vincenzo,,,,@FelixZRH,,,"Politik: @spzuerich, #krzh, #kevu, Energie, Verkehr, Umwelt, Netzpolitik, ",1746,6248,https://twitter.com/FelixZRH
"Hoffmann, Joël ",,CH,,Vincenzo,,,,@JoelHoffmannjho,,Basler Zeitung,Journalist,667,325,https://twitter.com/JoelHoffmannjho
"Hofmann, Markus",,CH,,Vincenzo,,,,@m_hof,,NZZ,Editor und Blogger,1'361,2'882,https://twitter.com/m_hof
"Hofstaetter, Manu",,CH,,Vincenzo,,,,@mhofstaetter,,,,8'132,12.5 Tsd,https://twitter.com/mhofstaetter
"Hogenkamp, Peter",,CH,,Vincenzo,,,,@phogenkamp,,Neue Zürcher Zeitung,Leiter Digitale Medien,13.3 Tsd,17 Tsd,https://twitter.com/phogenkamp
"Holderegger, Urs",,CH,,Vincenzo,,,,@uh53,,Bundesamt für Zivilluftfahrt,Leiter Kommunikation. Zuvor Redaktionsleiter NZZ Online. ,828,697,https://twitter.com/uh53
"Hollenstein, Edith",,CH,,Vincenzo,,,,@e_hollenstein,,persoenlich.com,"Journalistin, Redaktorin",2'282,638,https://twitter.com/e_hollenstein
"Honegger, Arthur",,Washington DC,,Vincenzo,,,,@tvArthur,,SRF,US Correspondent Swiss TV (SRF),4'640,7'557,https://twitter.com/honegger
"Hönegger, Kathrin",,CH,,Vincenzo,,,,@khoenegger,,SRF Einstein,Moderatorin,2'884,627,https://twitter.com/khoenegger
"Hoskyn, Jonas",,CH,,Vincenzo,,,,@jhoskyn,,,,278,71,https://twitter.com/jhoskyn
"Hossli, Peter",,CH,,Vincenzo,,,,@phossli,,,Reporter,1'492,3'674,https://twitter.com/phossli
"Hostettler, Otto",,CH,,Vincenzo,,,,@ottobeobachtet,,"Beobachter, Axel Springer Schweiz AG",Journalist/Redaktor,334,796,https://twitter.com/ottobeobachtet
"Hostettler, Sophie",,CH,,Vincenzo,,,,@sohostettler,,TeleBärn,"Moderatorin, VJ TeleBärn, Journalistin BR, News @TeleBaernTV, AZ Regionalfernsehen  ",551,636,https://twitter.com/sohostettler
"Huber, Daniel",,CH,,Vincenzo,,,,@tschelovek,,Watson News,Editor,155,43,https://twitter.com/tschelovek
"Huber, Felix ",,CH,,Vincenzo,,,,@huberfe,,,"CoLeiter @jglpZH, Netzthemen, Sicherheitspolitik, arbeitet im @impacthubzurich.",736,6830,https://twitter.com/huberfe
"Hufschmid, Samuel",,CH,,Vincenzo,,,,@shufschmid,,20 Minuten Basel,Stv. Büroleiter,518,1'028,https://twitter.com/shufschmid
"Hug, Michael",,CH,,Vincenzo,,,,@mihu97,,,,277,54,https://twitter.com/mihu97
"Hürlimann, Brigitte",,CH,,Vincenzo,,,,@brhnzz,,,,483,1'313,https://twitter.com/brhnzz
"Hutter, Thomas",,CH,,Vincenzo,,,,@thomashutter,,Hutter Consult GmbH,CEO Hutter Consult GmbH | Digital Marketing Strategie Beratung mit Fokus auf Facebook,13.6 Tsd,7484,https://twitter.com/thomashutter
"Huwyler, Bernhard",,CH,,Vincenzo,,,,@benhuwyler,,Tagesschau SRF,Journalist,233,333,https://twitter.com/benhuwyler
"Ihle, Pascal",,CH,,Vincenzo,,,,@pascal_ihle,,Handelszeitung,"Journalist, Chefredaktion ",629,928,https://twitter.com/pascal_ihle
"Imbach, Florian ",,CH,,Vincenzo,,,,@zurichlive,,,Journalist,704,5'205,https://twitter.com/zurichlive
"Imhasly, Patrick",,CH,,Vincenzo,,,,@Imhasly,,,Journalist,109,10,https://twitter.com/Imhasly
"In-Albon, Giacinto",,CH,,Vincenzo,,,,@moderatOhr,,,,132,492,https://twitter.com/moderatOhr
"Inglin, Martina",,CH,,Vincenzo,,,,@Martina_Inglin,,Telebasel,Journalistin,128,99,https://twitter.com/Martina_Inglin
"Ingold, Franziska",,CH,,Vincenzo,,,,@ingicom,,SRF,Journalistin,279,172,https://twitter.com/ingicom
"Jacoby, Simon",,CH,,Vincenzo,,,,@S_Jacoby,,Die Perspektive / Watson News,Redaktor und Journalist / freier Redaktor,350,455,https://twitter.com/S_Jacoby
"Jäggi, Marc",,CH,,Vincenzo,,,,@MarcJaeggi,,,,992,799,https://twitter.com/MarcJaeggi
"Jaggi, Marco",,CH,,Vincenzo,,,,@JaggiMarco,,,Radio-Macher,320,387,https://twitter.com/JaggiMarco
"Jäggi, Sarah",,CH,,Vincenzo,,,,@SJggi,,Die Zeit (Schweiz),Journalistin,1'128,868,https://twitter.com/Sjggi
"Jäggi, Simon",,CH,,Vincenzo,,,,@SimonJaeggi,,,"Öffentlichkeitsarbeiter (Naturhistorisches Museum Bern), Musikmacher, Dilettant",792,753,https://twitter.com/SimonJaeggi
"Jahn, Andreas",,CH,,Vincenzo,,,,@a_jahn,,Neue Zürcher Zeitung,Journalist,383,290,https://twitter.com/a_jahn
"Jakubetz, Christian",,CH,,Vincenzo,,,,@cjakubetz,,,"Journalist, Blogger, Dozent, Autor",5'281,9'588,https://twitter.com/cjakubetz
"Jansen, Andrea ",,CH,,Vincenzo,,,,@jansenreistrum,,,"TV-Moderatorin, Kolumnistin",3'464,1'546,https://twitter.com/jansenreistrum
"Jauslin, Mirjam",,CH,,Vincenzo,,,,@mirjamjauslin,,Telebasel,stv. Chefredaktorin,457,1'008,https://twitter.com/mirjamjauslin
"Jerger, Andrea ",,CH,,Vincenzo,,,,@AndreaJerger,,,Ich schreibe über Detailhandel/Soziales und unsere SBB!,2298,30.3 Tsd,https://twitter.com/AndreaJerger
"Jermann, Hans-Martin",,CH,,Vincenzo,,,,@bzJermann,,,Journalist,386,307,https://twitter.com/bzJermann
"Jikhareva, Anna",,CH,,Vincenzo,,,,@Anna_Jik,,Tages-Anzeiger,Journalistin,140,386,https://twitter.com/Anna_Jik
"Jirat, Jan",,CH,,Vincenzo,,,,@the_hundsfott,,Die Wochenzeitung WOZ,Journalist,437,175,https://twitter.com/the_hundsfott
"Jones, Andrew",,CH,,Vincenzo,,,,@AndrewJones1980,,Radio SRF3,Journalist,348,102,https://twitter.com/AndrewJones1980
"Jordi, Hanna",,CH,,Vincenzo,,,,@hannajordi,,Der Bund,Journalist,334,337,https://twitter.com/hannajordi
"Jossen, Thomas",,CH,,Vincenzo,,,,@ThomasJossen,,Radio Rottu Oberwallis (rro),Redaktor,192,301,https://twitter.com/ThomasJossen
"Jost, Marc ",,CH,,Vincenzo,,,,@marcjost,,,"Speaker of Cantonal Parliament Berne, General Secretary of Swiss Evangelical Alliance",902,1904,https://twitter.com/marcjost
"Jost, Peter",,CH,,Vincenzo,,,,@Peter_Jost,,Berner Zeitung,Chefredaktor,1'531,4'307,https://twitter.com/Peter_Jost
"Jubin, Marie",,CH,,Vincenzo,,,,@CyberWriter,,,"Journalist BR, IFJ-Mitglied - online-Editor, lecturer uni basel, #hcsmeu healthcare 2.0, blogger by night",1'194,4'694,https://twitter.com/CyberWriter
Junge Journalisten ,,CH,,Vincenzo,,,,@JJS_CH,,,Schweizer Jungjournalisten vernetzen sich. Es twittern: @elia_bluelle und @LuziaTschirky.,1'613,545,https://twitter.com/JJS_CH
"Jungen, Christian",,CH,,Vincenzo,,,,@ChristianJungen,,NZZ am Sonntag,Filmkritiker NZZ am Sonntag / Redaktionsleiter Frame,534,837,https://twitter.com/ChristianJungen
"Jungfer, Martin",,CH,,Vincenzo,,,,@MartinJungfer,,NZZ,Media. Marketing. Journalism. Social Media. Management,740,1687,https://twitter.com/MartinJungfer
"Jürgensen, Nadine",,CH,,Vincenzo,,,,@4Senna,,NZZ,Redaktion Inland,1'279,339,https://twitter.com/4Senna
"Kalbermatten, Bruno",,CH,,Vincenzo,,,,@b_kalbermatten,,Radio Rottu Oberwallis (rro),Redaktionsleiter,178,188,https://twitter.com/b_kalbermatten
"Kälin, Adi",,CH,,Vincenzo,,,,@adikaelin,,Neue Zürcher Zeitung,Lokaljournalist,1'456,685,https://twitter.com/adikaelin
"Kaspar, Michael ",,CH,,Vincenzo,,,,@mikaspar,,Zürichsee-Zeitung,Journalist,126,29,https://twitter.com/mikaspar
"Kaufmann, Moritz",,CH,,Vincenzo,,,,@MoritzCom,,bz Basel,Journalist ,367,410,https://twitter.com/MoritzCom
"Keller, Anne-Regula",,CH,,Vincenzo,,,,@Anne_Re_Keller,,,Journalistin,508,6'015,https://twitter.com/Anne_Re_Keller
"Keller, Christian",,CH,,Vincenzo,,,,@krick68,,,,447,2'560,https://twitter.com/krick68
"Kessler, Erica",,CH,,Vincenzo,,,,@ErikaKessler1,,,"Social Media Strategy Consultant, Trainer and Speaker • Let's change the world together using Social Media ",2009,7372,https://twitter.com/ErikaKessler1
"Kessler, Pius",,CH,,Vincenzo,,,,@keschpi,,,Journalist,737,1'815,https://twitter.com/PiusKessler
"Kiefer, Marco ",,CH,,Vincenzo,,,,@MarcoKiefer,,,Liberaler SVP-Politiker,3036,9383,https://twitter.com/MarcoKiefer
"Kirchhofer, Reto",,CH,,Vincenzo,,,,@rek_81,,Berner Zeitung,Sportjournalist,506,1'222,https://twitter.com/rek_81
"Kislig, Bernhard",,CH,,Vincenzo,,,,@berrkii,,Berner Zeitung,Journalist (Bundespolitik),190,61,https://twitter.com/berrkii
"Klee, Matieu",,CH,,Vincenzo,,,,@MatieuKlee,,"Schweizer Radio und Fernsehen SRF, Basel","Journalist, Regionaljournal Basel",1'157,965,https://twitter.com/MatieuKlee
"Klette, Kathrin",,CH,,Vincenzo,,,,@kathrins_corner,,NZZ,Journalistin,653,3175,https://twitter.com/kathrins_corner
"Knabenhans, Anja",,CH,,Vincenzo,,,,@madamekiwi,,NZZ,Journlistin,1'432,4'359,https://twitter.com/madamekiwi
"Knabenhans, Conradin",,CH,,Vincenzo,,,,@conradion,,Zürichsee-Zeitung,"Journalist, Vonontär Zürichsee-Zeitung",519,6'020,https://twitter.com/conradion
"Knellwolf, Thomas",,CH,,Vincenzo,,,,@KneWolf,,Tages-Anzeiger,Reporter,2'498,994,https://twitter.com/KneWolf
"Kobler, Patrik",,CH,,Vincenzo,,,,@patrikkobler,,Appenzeller Zeitung,Redaktionsleiter,178,252,https://twitter.com/patrikkobler
"Kobler, Seraina",,CH,,Vincenzo,,,,@SerainaKobler,,clack.ch,Journalistin und Redaktionsleitung,1'200,705,https://twitter.com/SerainaKobler
"Kohler, Alexandra",,CH,,Vincenzo,,,,@koa_87,,NZZ,Redaktorin NZZ Data,334,228,https://twitter.com/koa_87
"Kohler, Dieter",,CH,,Vincenzo,,,,@kohlerdi,,Schweizer Radio und Fernsehen SRF,Journalist / Leiter Regionaljournal Basel,740,303,https://twitter.com/kohlerdi
"Kohler, Franziska",,CH,,Vincenzo,,,,@FranziskaKohler,franzis_k,Tages-Anzeiger,,143,109,https://twitter.com/FranziskaKohler
"Kohli, Alice",,CH,,Vincenzo,,,,@AliceKohli,,NZZ,Redaktorin,821,820,https://twitter.com/AliceKohli
"Köppel, Carmen",,CH,,Vincenzo,,,,@Carmenkoeppel,,SRF 3,Web Editor,164,13,https://twitter.com/Carmenkoeppel
"Köppel, Roger",,CH,,Vincenzo,,,,@RogerKoeppel,,Die Weltwoche,Chefredaktor und Verleger,1'704,?,https://twitter.com/RogerKoeppel
"Körte, Michael",,CH,,Vincenzo,,,,@koerte,,SRF,Redaktor,306,277,https://twitter.com/koerte
"Kost, Martin",,CH,,Vincenzo,,,,@martinkost,,Standout,"Inhaber von Standout, Agentur für Online Communications: Social Media, Online PR, Intranet, SEO",1333,665,https://twitter.com/martinkost
"Kouo, Alain",,CH,,Vincenzo,,,,@AlainKouo,,Migrosmagazin,Rédacteur en chef adjoint ,271,803,https://twitter.com/AlainKouo
"Kowalsky, Marc",,CH,,Vincenzo,,,,@MarcKowalsky,,,,677,366,https://twitter.com/MarcKowalsky
"Krapf, Christof",,CH,,Vincenzo,,,,@ChKrapf,,St. Galler Tagblatt,Sportjournalist,111,176,https://twitter.com/ChKrapf
"Krattiger, Jan",,CH,,Vincenzo,,,,@jan_krattiger,,"Telebasel, 7vor7",Redaktor/Produzent,1'284,4'328,https://twitter.com/jan_krattiger
