Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Beck, Renato",,CH,,Vincenzo,,,,@Renato_Beck,,TagesWoche,Redaktor ,817,719,https://twitter.com/Renato_Beck
"Beglinger, Martin",,CH,,Vincenzo,,,,@BeglingerMartin,,"Das Magazin von Tages-Anzeiger, Der Bund, Berner Zeitung und Basler Zeitung",Redaktor,442,84,https://twitter.com/BeglingerMartin
"Belz, Nina",,CH,,Vincenzo,,,,@NZZnbe,,NZZ,Auslandredaktion,382,693,https://twitter.com/NZZnbe
"Benkö, Thomas",,CH,,Vincenzo,,,,@ThBenkoe,,Blick am Abend,Deputy Editor-In-Chief,5'933,16.9 Tsd,https://twitter.com/ThBenkoe
"Bergamin, Fabio",,CH,,Vincenzo,,,,@beftwi,,Neue Zürcher Zeitung (among others),Freelance Science Journalist,174,109,https://twitter.com/beftwi
"Berger, Guido",,CH,,Vincenzo,,,,@guidoberger,,SRF,IT & Games,1'231,784,https://twitter.com/guidoberger
"Berger, Guido",,CH,,Vincenzo,,,,@guidoberger,,SRF,I cover IT and games for @srfdigital at Swiss public radio and television SRF.,1'342,965,https://twitter.com/guidoberger
"Berger, Nicola",,CH,,Vincenzo,,,,@BergerNeueLZ,,NLZ,,1'078,1'438,https://twitter.com/BergerNeueLZ
"Bernet, Luzi ",,CH,,Vincenzo,,,,@LuziBernet,,Neue Zürcher Zeitung,Nachrichtenchef und stv. Chefredaktor,2'711,3'343,https://twitter.com/LuziBernet
"Bieler, Larissa M.",,CH,,Vincenzo,,,,@larissambieler,,,"Journalistin, Lingustin",189,28,https://twitter.com/larissambieler 
"Bigi, Hugo",,CH,,Vincenzo,,,,@hugobigi,,TeleZüri,"Journalist, Dozent (HWZ)",215,5,https://twitter.com/hugobigi
"Bigliel, Thomas",,CH,,Vincenzo,,,,@bigliel,,21 Min,Journalist,1334,2317,https://twitter.com/bigliel
"Binswanger, Michèle",,CH,,Vincenzo,,,,@mbinswanger,,,"Journalistin, Autorin",8'193,6'544,https://twitter.com/mbinswanger
"Birrer, Raphaela",,CH,,Vincenzo,,,,@raphaelabirrer,,Tagesanzeiger.ch/Newsnet,Journalistin (Bundeshausredaktorin),373,206,https://twitter.com/raphaelabirrer
"Bischofberger, Emil",,CH,,Vincenzo,,,,@bischofberger,,,Sportjournalist,718,1'407,https://twitter.com/bischofberger
"Bisculm, Bernadette",,CH,,Vincenzo,,,,@BisCulm,,,"Strategische Kommunikation, PR, Content Strategie, Content Marketing, Social Media, Dozentin, Referentin",2996,13 Tsd,https://twitter.com/BisCulm
"Biswas, Chanchal",,CH,,Vincenzo,,,,@chanchalbiswas,,NZZ am Sonntag,Deputy Editor-in-Chief ,382,1,https://twitter.com/chanchalbiswas
"Blancheton, Betrand",,CH,,Vincenzo,,,,@BertBlanche,,,"Digital Marketing Pro, Instagram Expert, active Urban Gardener, Top 10 Swiss Social Media Influencer @ http://www.einflussreich.ch  . Founder of @urbgardenersrep",11.2 Tsd,32.8 Tsd,https://twitter.com/BertBlanche
"Blocher, Christoph",,CH,,Vincenzo,,,,@ChriguBusCH,,,"Bundesrat a.d., Nationalrat, Parteibesitzer, Unternehmer, Kunstsammler",505,30,https://twitter.com/ChriguBusCH
"Blülle, Elia",,CH,,Vincenzo,,,,@elia_bluelle,,NAKT / jjs.ch (Junge Journalisten Schweiz),editor-in-chief / Präsident,503,492,https://twitter.com/elia_bluelle
"Blum, Sandra",,CH,,Vincenzo,,,,@blumgianna,,Der Bund,Journalistin,137,117,https://twitter.com/blumgianna
"Blunschi, Alexander",,CH,,Vincenzo,,,,@axlblu,,,,519,213,https://twitter.com/axlblu
"Bolliger, Michael",,CH,,Vincenzo,,,,@MichaelBolliger,,Radio SRF4News,Journalist,150,24,https://twitter.com/MichaelBolliger
"Bomio, Nicola",,CH,,Vincenzo,,,,@nbomio,,SRF,Projektleiter Programmstrategie,283,468,https://twitter.com/nbomio
"Bonk, Marco",,CH,,Vincenzo,,,,@PhilFogg,,Stadtmagazin coolibri,Leiter Online Abteilung,482,3'057,https://twitter.com/PhilFogg
"Borini, Rino",,CH,,Vincenzo,,,,@rinoborini,,Wirtschaftsmagazin PUNKT,Co-Founder financialmedia / Chefredaktor ,377,661,https://twitter.com/rinoborini
"Born, Mathias",,CH,,Vincenzo,,,,@thisss,,,Journalist,652,674,https://twitter.com/thisss
"Born, Rouven",,CH,,Vincenzo,,,,@RouvenBorn,,Schweizer Radio SRF 1,Redaktor und Produzent,2'345,2'846,https://twitter.com/RouvenBorn
"Bornand, Sandra",,CH,,Vincenzo,,,,@clipperli,,FHHWZ,Arbeitet an der @fhhwz.,916,5754,https://twitter.com/clipperli
"Borner, Lis",,CH,,Vincenzo,,,,@lisborner,,SRF - Schweizer Radio und Fernsehen,Chefredaktorin Radio,219,?,https://twitter.com/lisborner
"Boselli, Marco",,CH,,Vincenzo,,,,@BoselliMarco,,,CR 20 Minuten (Chefredaktion),202,47,https://twitter.com/BoselliMarco
"Bossert, Christian",,CH,,Vincenzo,,,,@chhbossert,,,Web Guide & Trainer für ambitionierte Unternehmer/innen. Webinare. Online Marketing & Social Media. Multi-Passionate. @attractrCH. @SwingDJs. Swing DJ @chrisbe_,1225,3415,https://twitter.com/chhbossert
"Bosshart, Thinh-Lay",,CH,,Vincenzo,,,,@allerlay,,,schreibe mit/für/bei/.. @nabossha / @BossharTong / @SMSnack,526,2'545,https://twitter.com/allerlay
"Braeuer, Sebastian",,CH,,Vincenzo,,,,@braeuer,,Neue Zürcher Zeitung am Sonntag,Wirtschaftsredakteur/Business Editor,409,297,https://twitter.com/braeuer
"Brand, Christine",,CH,,Vincenzo,,,,@brandmeldung,Brandmeldung,Neue Zürcher Zeitung am Sonntag,Journalistin,2'309,2'902,https://twitter.com/brandmeldung
"Brändlin, Roger",,CH,,Vincenzo,,,,@rogerbraendlin,,SRF,Redaktor & Moderator,424,61,https://twitter.com/rogerbraendlin
"Brandt, Dani ",,CH,,Vincenzo,,,,@dani_brandt,,,Liberal - was sonst!,1350,12.6 Tsd,https://twitter.com/dani_brandt
"Bräunle, Christos",,CH,,Vincenzo,,,,@SauerMalz,,Farner Agentur,PR für ICT,104,60,https://twitter.com/SauerMalz
"Britschgi, Hannes",,CH,,Vincenzo,,,,@hbritschgi,,,"Journalist, director Ringier School of Journalism, Ringier AG, Pressehaus",2'220,19,https://twitter.com/hbritschgi
"Brönnimann, Christian",,CH,,Vincenzo,,,,@ch_broennimann,,Bund/Tages-Anzeiger - Bern,Journalist,464,63,https://twitter.com/ch_broennimann
"Brönnimann, Gabriel",,CH,,Vincenzo,,,,@broennimann,,20 Min,Reporter,1230,5419,https://twitter.com/broennimann
"Brotz, Sandro",,CH,,Vincenzo,,,,@SandroBrotz,,SRF Rundschau,Reporter,7'448,3'957,https://twitter.com/SandroBrotz
"Brouzos, Jorgos",,CH,,Vincenzo,,,,@jorgosbrouzos,,HandelsZeitung,Journalist,316,402,https://twitter.com/jorgosbrouzos
"Bruni, Benjamin",,CH,,Vincenzo,,,,@benjaminbruni,,"Radio_Basilisk, EHC Basel Sharks","Sportchef und Redaktor, Stadionspeaker",1'002,1'550,https://twitter.com/benjaminbruni
"Brunner, Christoph",,CH,,Vincenzo,,,,@brunnercaffi,,,Radioredaktor,732,8'003,https://twitter.com/brunnercaffi
"Brunner, Jérôme",,CH,,Vincenzo,,,,@splatterwelt,,SRF Virus,Film critic for swiss radio @srfvirus and owner of the movie blog http://www.splatterwelt.ch,369,4'901,https://twitter.com/splatterwelt
